row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Tổng cộng triệu đồng,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Tổng cộng triệu đồng
,,,Trên 3 tháng triệu đồng,Đến 3 tháng triệu đồng,Đến 1 tháng triệu đồng,Từ 1 đến 3 tháng triệu đồng,Từ 3 đến 12 tháng triệu đồng,Từ 1 đến 5 năm triệu đồng,Trên 5 năm triệu đồng,Tổng cộng triệu đồng,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,7.028.347,-,-,-,-,7.028.347,,,7028347.0,,,,,7028347.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,23.182.208,-,-,-,-,23.182.208,,,23182208.0,,,,,23182208.0
Tiền gửi tại và cho vay các TCTD khác (*),Tài sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),-,-,108.434.619,19.795.393,2.282.000,-,-,130.512.012,,,108434619.0,19795393.0,2282000.0,,,130512012.0
Chứng khoán kinh doanh (*),Tài sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,3.279.561,-,-,-,-,3.279.561,,,3279561.0,,,,,3279561.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,281.166,-,-,-,-,281.166,,,281166.0,,,,,281166.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),13.690.952,5.209.721,54.581.576,180.440.228,302.849.199,132.775.137,175.379.135,864.925.948,13690952.0,5209721.0,54581576.0,180440228.0,302849199.0,132775137.0,175379135.0,864925948.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),480.850,590.000,2.239.283,5.170.020,4.827.337,65.923.028,25.563.418,104.793.936,480850.0,590000.0,2239283.0,5170020.0,4827337.0,65923028.0,25563418.0,104793936.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,-,-,-,-,-,3.319.097,3.319.097,,,,,,,3319097.0,3319097.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,-,-,11.114.537,11.114.537,,,,,,,11114537.0,11114537.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),9,-,-,-,128.960,-,31.729.534,31.858.503,9.0,,,,128960.0,,31729534.0,31858503.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,14.171.811,5.799.721,199.026.760,205.405.641,310.087.496,198.698.165,247.105.721,1.180.295.315,14171811.0,5799721.0,199026760.0,205405641.0,310087496.0,198698165.0,247105721.0,1180295315.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
