row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcriệu đồng",Máy mócthiết bịtriệu đồng,Phương tiệnvận tài triệu đồng,TSCĐ khác triệu đồng,Tổng cộng triệu đồng,"numeric__Nhà cửa,vật kiến trúcriệu đồng",numeric__Máy mócthiết bịtriệu đồng,numeric__Phương tiệnvận tài triệu đồng,numeric__TSCĐ khác triệu đồng,numeric__Tổng cộng triệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,7.059 531,4.759.813,1.235.692,255.269,13.310.305,,4759813.0,1235692.0,255269.0,13310305.0
Mua sắm trong năm,Nguyên giá > Mua sắm trong năm,Mua sắm trong năm,33 528,148.696,165.458,21.569,369.251,,148696.0,165458.0,21569.0,369251.0
Đầu tư XDCB hoàn thành,Nguyên giá > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,106 146,71.868,10.284,15.551,203.849,,71868.0,10284.0,15551.0,203849.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,73 527,106.370,5.963,8.920,194.780,,106370.0,5963.0,8920.0,194780.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(40.164),(25.212),(16.237),(2.442),(84.055),-40164.0,-25212.0,-16237.0,-2442.0,-84055.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,296,-,(296),-,,296.0,,-296.0,
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,(50.253),(8.029),(7.746),(2.895),(68.923),-50253.0,-8029.0,-7746.0,-2895.0,-68923.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,7.182 315,5.053.802,1.393.414,295.676,13.925.207,,5053802.0,1393414.0,295676.0,13925207.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,1.732 209,4.140.335,885.156,165.869,6.923.569,,4140335.0,885156.0,165869.0,6923569.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,272.072,372.267,115.637,51.645,811.621,272072.0,372267.0,115637.0,51645.0,811621.0
Tăng khác,Giá trị hao mòn luỹ kế > Tăng khác,Tăng khác,9 716,53.929,2.484,11.583,77.712,,53929.0,2484.0,11583.0,77712.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(7.568),(24.535),(15.948),(2.303),(50.354),-7568.0,-24535.0,-15948.0,-2303.0,-50354.0
Phân loại lại,Giá trị hao mòn luỹ kế > Phân loại lại,Phân loại lại,-,245,-,(245),-,,245.0,,-245.0,
Giảm khác,Giá trị hao mòn luỹ kế > Giảm khác,Giảm khác,(6.270),(9.471),(12.558),(2.354),(30.653),-6270.0,-9471.0,-12558.0,-2354.0,-30653.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,2.000 159,4.532.770,974.771,224.195,7.731.895,,4532770.0,974771.0,224195.0,7731895.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,5.327 322,619.478,350.536,89.400,6.386.736,,619478.0,350536.0,89400.0,6386736.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,5.182 156,521.032,418.643,71.481,6.193.312,,521032.0,418643.0,71481.0,6193312.0
