row_label_raw,row_label_full,col_0,Quế hạn,Quế hạn_1,Quế hạn_2,Quế hạn_3,Quế hạn_4,numeric__Quế hạn,numeric__Quế hạn_1,numeric__Quế hạn_2,numeric__Quế hạn_3,numeric__Quế hạn_4
,,,Dưới 90 ngày,91-180 ngày,181-360 ngày,Trên 360 ngày,Tổng cộng,,,,,
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,2.993.296,1.569.953,1.840.357,8.023.986,14.427.592,2993296.0,1569953.0,1840357.0,8023986.0,14427592.0
