row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2018triệu đồng,%,Ngày 31 tháng 12năm 2017triệu đồng,%_1,numeric__Ngày 31 tháng 12năm 2018triệu đồng,numeric__%,numeric__Ngày 31 tháng 12năm 2017triệu đồng,numeric__%_1
Công ty Nhà nước,Công ty Nhà nước,Công ty Nhà nước,144.282.240,"17,47",81.729.855,"10,85",144282240.0,17.47,81729855.0,10.85
Công ty TNHH MTV vốn Nhà nước 100%,Công ty TNHH MTV vốn Nhà nước 100%,Công ty TNHH MTV vốn Nhà nước 100%,32.455.154,"3,93",57.852.075,"7,68",32455154.0,3.93,57852075.0,7.68
"Công ty TNHH 2 thành viên trở lên, vốn Nhà nước trên 50%","Công ty TNHH 2 thành viên trở lên, vốn Nhà nước trên 50%","Công ty TNHH 2 thành viên trở lên, vốn Nhà nước trên 50%",1.475.933,"0,18",1.666.059,"0,22",1475933.0,0.18,1666059.0,0.22
Công ty TNHH khác,Công ty TNHH khác,Công ty TNHH khác,27.192.508,"3,29",24.465.024,"3,25",27192508.0,3.29,24465024.0,3.25
Công ty Cổ phần vốn Nhà nước trên 50%,Công ty Cổ phần vốn Nhà nước trên 50%,Công ty Cổ phần vốn Nhà nước trên 50%,23.934.107,"2,90",28.278.246,"3,76",23934107.0,2.9,28278246.0,3.76
Công ty Cổ phần khác,Công ty Cổ phần khác,Công ty Cổ phần khác,53.066.664,"6,42",51.315.381,"6,82",53066664.0,6.42,51315381.0,6.82
Công ty hợp danh,Công ty hợp danh,Công ty hợp danh,2.641.632,"0,32",2.411.262,"0,32",2641632.0,0.32,2411262.0,0.32
Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,2.201.924,"0,27",1.886.742,"0,25",2201924.0,0.27,1886742.0,0.25
Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,57.591.086,"6,97",48.997.014,"6,51",57591086.0,6.97,48997014.0,6.51
Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,170.954,"0,02",440.958,"0,06",170954.0,0.02,440958.0,0.06
"Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân",435.144.186,"52,70",412.340.160,"54,76",435144186.0,52.7,412340160.0,54.76
"Dịch vụ hành chính sự nghiệp, Đăng, đoàn thể và hiệp hội","Dịch vụ hành chính sự nghiệp, Đăng, đoàn thể và hiệp hội","Dịch vụ hành chính sự nghiệp, Đăng, đoàn thể và hiệp hội",30.154.319,"3,65",30.928.742,"4,11",30154319.0,3.65,30928742.0,4.11
Thành phần kinh tế khác,Thành phần kinh tế khác,Thành phần kinh tế khác,15.505.412,"1,88",10.623.820,"1,41",15505412.0,1.88,10623820.0,1.41
,,,825.816.119,100,752.935.338,100,825816119.0,100.0,752935338.0,100.0
