row_label_raw,row_label_full,Họ và tên,Chức vụ,numeric__Chức vụ
Ông Lê Đức Thọ,Ông Lê Đức Thọ,Ông Lê Đức Thọ,Tổng Giám đốc (thôi giữ chức vụ kể từ ngày 31/10/2018),
Ông Trần Minh Bình,Ông Trần Minh Bình,Ông Trần Minh Bình,"Tổng Giám đốc (bố nhiệm Quyền Tổng giám đốc ngày 31/10/2018, bổ nhiệm Tổng giám đốc ngày 8/12/2018)",
Bà Nguyễn Hồng Vân,Bà Nguyễn Hồng Vân,Bà Nguyễn Hồng Vân,Phó Tổng Giám đốc (bố nhiệm ngày 8/12/2018),
Ông Nguyễn Hoàng Dũng,Ông Nguyễn Hoàng Dũng,Ông Nguyễn Hoàng Dũng,Phó Tổng Giám đốc,
Ông Nguyễn Đức Thành,Ông Nguyễn Đức Thành,Ông Nguyễn Đức Thành,Phó Tổng Giám đốc,
Ông Trần Công Quỳnh Lân,Ông Trần Công Quỳnh Lân,Ông Trần Công Quỳnh Lân,Phó Tổng Giám đốc,
Ông Nguyễn Đình Vinh,Ông Nguyễn Đình Vinh,Ông Nguyễn Đình Vinh,Phó Tổng Giám đốc,
Bà Lê Như Hoa,Bà Lê Như Hoa,Bà Lê Như Hoa,Phó Tổng Giám đốc,
Ông Hiroshi Yamaguchi,Ông Hiroshi Yamaguchi,Ông Hiroshi Yamaguchi,Phó Tổng Giám đốc,
Ông Nguyễn Hải Hưng,Ông Nguyễn Hải Hưng,Ông Nguyễn Hải Hưng,Kế toán Trường,
