row_label_raw,row_label_full,31/12/2020,Không quá 1 năm,Trên 1 năm,Tổng,numeric__Không quá 1 năm,numeric__Trên 1 năm,numeric__Tổng
Phải trả người bán,Phải trả người bán,Phải trả người bán,510.831.470.239,-,510.831.470.239,510831470239.0,,510831470239.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,413.261.827.977,13.366.626.818,426.628.454.795,413261827977.0,13366626818.0,426628454795.0
Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,1.380.260.781.992,2.586.779.223.774,3.967.040.005.766,1380260781992.0,2586779223774.0,3967040005766.0
Phải trả khác,Phải trả khác,Phải trả khác,454.875.479.872,510.960.376,455.386.440.248,454875479872.0,510960376.0,455386440248.0
Cộng,Cộng,Cộng,2.759.229.560.080,2.600.656.810.968,5.359.886.371.048,2759229560080.0,2600656810968.0,5359886371048.0
01/01/2020,01/01/2020,01/01/2020,Không quá 1 năm,Trên 1 năm,Tổng,,,
Phải trả người bán,01/01/2020 > Phải trả người bán,Phải trả người bán,505.795.414.901,-,505.795.414.901,505795414901.0,,505795414901.0
Chi phí phải trả,01/01/2020 > Chi phí phải trả,Chi phí phải trả,252.465.215.344,1.762.792.456,254.228.007.800,252465215344.0,1762792456.0,254228007800.0
Vay và nợ thuê tài chính,01/01/2020 > Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,1.334.846.482.850,2.386.513.327.318,3.721.359.810.168,1334846482850.0,2386513327318.0,3721359810168.0
Phải trả khác,01/01/2020 > Phải trả khác,Phải trả khác,355.490.461.112,368.804.178,355.859.265.290,355490461112.0,368804178.0,355859265290.0
Cộng,01/01/2020 > Cộng,Cộng,2.448.597.574.207,2.388.644.923.952,4.837.242.498.159,2448597574207.0,2388644923952.0,4837242498159.0
