row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,31/12/2020 VND,01/01/2020 VND,numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2020 VND,numeric__01/01/2020 VND
A.,A.,A.,TÀI SẢN NGĂN HẠN,100,,2.611.417.732.983,3.591.295.956.624,,100.0,,2611417732983.0,3591295956624.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,5,138.061.045.269,168.009.328.834,,110.0,5.0,138061045269.0,168009328834.0
1.,1.,1.,Tiền,111,,138.061.045.269,168.009.328.834,,111.0,,138061045269.0,168009328834.0
2.,2.,2.,Các khoản tương đương tiền,112,,-,-,,112.0,,,
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,,-,245.807.632.154,,120.0,,,245807632154.0
1.,1.,1.,Chứng khoán kinh doanh,121,,-,264.000.000.000,,121.0,,,264000000000.0
2.,2.,2.,Dự phòng giảm giá chứng khoán kinh doanh,122,,-,(18.192.367.846),,122.0,,,-18192367846.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,2.054.304.502.874,2.756.401.623.113,,130.0,,2054304502874.0,2756401623113.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,7,813.423.192.266,678.272.990.166,,131.0,7.0,813423192266.0,678272990166.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,8,106.792.336.603,238.327.150.536,,132.0,8.0,106792336603.0,238327150536.0
3.,3.,3.,Phải thu về cho vay ngắn hạn,135,9.a,920.227.151.298,1.177.290.727.548,,135.0,,920227151298.0,1177290727548.0
4.,4.,4.,Phải thu ngắn hạn khác,136,10.a,645.717.002.529,790.141.646.025,,136.0,,645717002529.0,790141646025.0
5.,5.,5.,Dự phòng phải thu ngắn hạn khó đòi,137,11,(431.855.179.822),(127.630.891.162),,137.0,11.0,-431855179822.0,-127630891162.0
IV.,IV.,IV.,Hàng tồn kho,140,12,402.721.006.566,405.275.429.014,,140.0,12.0,402721006566.0,405275429014.0
1.,1.,1.,Hàng tồn kho,141,,435.443.161.214,451.617.224.037,,141.0,,435443161214.0,451617224037.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,(32.722.154.648),(46.341.795.023),,149.0,,-32722154648.0,-46341795023.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,16.331.178.274,15.801.943.509,,150.0,,16331178274.0,15801943509.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,13.a,877.808.421,497.158.340,,151.0,,877808421.0,497158340.0
2.,2.,2.,Thuế GTGT được khấu trừ,152,,15.039.091.874,14.246.419.739,,152.0,,15039091874.0,14246419739.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,22,414.277.979,1.058.365.430,,153.0,22.0,414277979.0,1058365430.0
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,5.619.151.013.397,5.023.216.685.631,,200.0,,5619151013397.0,5023216685631.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,1.446.264.757.439,1.226.406.018.610,,210.0,,1446264757439.0,1226406018610.0
1.,1.,1.,Phải thu về cho vay dài hạn,215,9.b,1.444.970.154.339,1.221.645.803.782,,215.0,,1444970154339.0,1221645803782.0
2.,2.,2.,Phải thu dài hạn khác,216,10.b,1.294.603.100,4.760.214.828,,216.0,,1294603100.0,4760214828.0
