row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócthiết bị,P.tiện vận tảitruyền dẫn,"Thiết bị, dụngcụ quản lý",Cây lâu năm,TSCĐ khác,Cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócthiết bị,numeric__P.tiện vận tảitruyền dẫn,"numeric__Thiết bị, dụngcụ quản lý",numeric__Cây lâu năm,numeric__TSCĐ khác,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số đầu kỳ,Nguyên giá > Số đầu kỳ,Số đầu kỳ,579.623.148.758,632.129.373.157,56.542.791.495,98.769.718.291,556.528.248.745,2.421.224.364.512,4.344.817.644.958,579623148758.0,632129373157.0,56542791495.0,98769718291.0,556528248745.0,2421224364512.0,4344817644958.0
Tăng do hợp nhất,Nguyên giá > Tăng do hợp nhất,Tăng do hợp nhất,234.514.400.181,295.647.147.699,1.917.271.819,-,-,-,532.078.819.699,234514400181.0,295647147699.0,1917271819.0,,,,532078819699.0
Mua sắm trong kỳ,Nguyên giá > Mua sắm trong kỳ,Mua sắm trong kỳ,352.114.533,9.134.716.951,-,940.583.821,205.000.000,181.818.182,10.814.233.487,352114533.0,9134716951.0,,940583821.0,205000000.0,181818182.0,10814233487.0
XDCB hoàn thành,Nguyên giá > XDCB hoàn thành,XDCB hoàn thành,3.749.724.968,1.385.610.605,187.046.897,-,1.334.500.343,-,6.656.882.813,3749724968.0,1385610605.0,187046897.0,,1334500343.0,,6656882813.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,-,-,-,-,-,4.706.526.719,4.706.526.719,,,,,,4706526719.0,4706526719.0
CL do chuyển đổi,Nguyên giá > CL do chuyển đổi,CL do chuyển đổi,35.079.531,962.828.713,13.004.575,161.637.452,-,-,1.172.550.271,35079531.0,962828713.0,13004575.0,161637452.0,,,1172550271.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,1.353.876,-,-,-,-,-,1.353.876,1353876.0,,,,,,1353876.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,141.806.052,-,-,-,-,141.806.052,,141806052.0,,,,,141806052.0
Giảm do phá đỡ TSCĐ,Nguyên giá > Giảm do phá đỡ TSCĐ,Giảm do phá đỡ TSCĐ,1.587.053.463,-,-,-,11.767.522.882,-,13.354.576.345,1587053463.0,,,,11767522882.0,,13354576345.0
Giảm do thoái vốncông ty con,Nguyên giá > Giảm do thoái vốncông ty con,Giảm do thoái vốncông ty con,13.223.291.322,12.274.411.000,1.117.700.000,-,-,-,26.615.402.322,13223291322.0,12274411000.0,1117700000.0,,,,26615402322.0
Gớp vốn,Nguyên giá > Gớp vốn,Gớp vốn,42.423.389.416,3.200.000.000,-,-,-,-,45.623.389.416,42423389416.0,3200000000.0,,,,,45623389416.0
Số cuối kỳ,Nguyên giá > Số cuối kỳ,Số cuối kỳ,761.039.379.894,923.643.460.073,57.542.414.786,99.871.939.564,546.300.226.206,2.426.112.709.413,4.814.510.129.936,761039379894.0,923643460073.0,57542414786.0,99871939564.0,546300226206.0,2426112709413.0,4814510129936.0
Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,,,,,,,
Số đầu kỳ,Khấu hao > Số đầu kỳ,Số đầu kỳ,177.784.718.996,585.495.886.286,36.099.362.722,96.369.610.059,249.418.476.756,343.212.241.035,1.488.380.295.854,177784718996.0,585495886286.0,36099362722.0,96369610059.0,249418476756.0,343212241035.0,1488380295854.0
Tăng do hợp nhất,Khấu hao > Tăng do hợp nhất,Tăng do hợp nhất,19.416.870.126,31.995.181.891,1.342.022.729,-,-,-,52.754.074.746,19416870126.0,31995181891.0,1342022729.0,,,,52754074746.0
Khấu hao trong kỳ,Khấu hao > Khấu hao trong kỳ,Khấu hao trong kỳ,21.329.443.084,16.089.250.068,3.551.153.949,924.867.533,18.523.815.332,92.837.913.284,153.256.443.250,21329443084.0,16089250068.0,3551153949.0,924867533.0,18523815332.0,92837913284.0,153256443250.0
CL do chuyển đổi,Khấu hao > CL do chuyển đổi,CL do chuyển đổi,32.304.488,863.365.274,9.600.006,152.369.886,-,-,1.057.639.654,32304488.0,863365274.0,9600006.0,152369886.0,,,1057639654.0
