row_label_raw,row_label_full,Chỉ tiêu,"Bán hàng hóa, linh kiện điện tử","Bán gỗ, sân phẩm từ gỗ, cao su, nông nghiệp",Kinh doanh phân bón,Điện thương phẩm,"Công trình xây dựng, thu phí BOT",Dịch vụ bến xe và xe buýt,Hoạt động kinh doanh bất động sản,"Hoạt động khác (cho thuê tài sản, khách sạn...)",Loại trừ,Tổng cộng,"numeric__Bán hàng hóa, linh kiện điện tử","numeric__Bán gỗ, sân phẩm từ gỗ, cao su, nông nghiệp",numeric__Kinh doanh phân bón,numeric__Điện thương phẩm,"numeric__Công trình xây dựng, thu phí BOT",numeric__Dịch vụ bến xe và xe buýt,numeric__Hoạt động kinh doanh bất động sản,"numeric__Hoạt động khác (cho thuê tài sản, khách sạn...)",numeric__Loại trừ,numeric__Tổng cộng
Doanh thu thuần tử bán hàng ra bên ngoài,Doanh thu thuần tử bán hàng ra bên ngoài,Doanh thu thuần tử bán hàng ra bên ngoài,1.376.757.805.661,90.744.823.205(46.752.325),93.315.770.000,28.690.865.752,379.168.720.256(5.041.773.636),802.345.442,57.176.000.000,7.835.172.348(3.190.909.092),8.279.435.053,2.034.491.502.664,1376757805661.0,,93315770000.0,28690865752.0,,802345442.0,57176000000.0,,8279435053.0,2034491502664.0
Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,-,,-,-,,-,-,,,-,,,,,,,,,,
Giá vốn của bộ phận,Doanh thu giữa các bộ phận > Giá vốn của bộ phận,Giá vốn của bộ phận,1.201.803.441.777,118.196.697.203,113.884.818.000,7.628.104.928,154.774.202.412,100.000.000,66.819.517.973,6.972.595.366,,1.670.179.377.659,1201803441777.0,118196697203.0,113884818000.0,7628104928.0,154774202412.0,100000000.0,66819517973.0,6972595366.0,,1670179377659.0
Lợi nhuận từ hoạt động kinh doanh,Doanh thu giữa các bộ phận > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,174.954.363.884,(27.451.873.998),(20.569.048.000),21.062.760.824,224.394.517.844,702.345.442,(9.643.517.973),862.576.982,,364.312.125.005,174954363884.0,-27451873998.0,-20569048000.0,21062760824.0,224394517844.0,702345442.0,-9643517973.0,862576982.0,,364312125005.0
Tài sản bộ phận tại ngày 31/12/2020,Doanh thu giữa các bộ phận > Tài sản bộ phận tại ngày 31/12/2020,Tài sản bộ phận tại ngày 31/12/2020,3.388.712.305.833,665.324.840.496,28.324.360.000,685.252.886.431,3.003.054.766.907,267.491.550,254.671.559.131,202.658.032.795,,8.228.266.243.143,3388712305833.0,665324840496.0,28324360000.0,685252886431.0,3003054766907.0,267491550.0,254671559131.0,202658032795.0,,8228266243143.0
Tài sản không phân bổ,Doanh thu giữa các bộ phận > Tài sản không phân bổ,Tài sản không phân bổ,-,-,-,,-,-,-,-,,2.302.503.237,,,,,,,,,,2302503237.0
Tổng tài sản,Doanh thu giữa các bộ phận > Tổng tài sản,Tổng tài sản,,,,,,,,,,8.230.568.746.380,,,,,,,,,,8230568746380.0
Nợ phải trả bộ phận tại ngày 31/12/2020,Doanh thu giữa các bộ phận > Nợ phải trả bộ phận tại ngày 31/12/2020,Nợ phải trả bộ phận tại ngày 31/12/2020,2.075.708.982.388,283.359.500.292,14.952.800.000,499.146.414.984,2.365.497.133.344,17.727.491.550,163.208.576.970,273.177.033.274,,5.692.777.932.802,2075708982388.0,283359500292.0,14952800000.0,499146414984.0,2365497133344.0,17727491550.0,163208576970.0,273177033274.0,,5692777932802.0
Nợ phải trả không phân bổ,Doanh thu giữa các bộ phận > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,-,-,-,,-,-,-,-,,31.235.813.235,,,,,,,,,,31235813235.0
Tổng nợ phải trả,Doanh thu giữa các bộ phận > Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,,,,5.724.013.746.037,,,,,,,,,,5724013746037.0
Khẩu hao và chi phí phân bổ,Doanh thu giữa các bộ phận > Khẩu hao và chi phí phân bổ,Khẩu hao và chi phí phân bổ,67.185.622.177,41.197.823.251,-,11.189.616.952,108.216.425.227,-,1.806.971.333,3.642.626.225,,233.239.085.165,67185622177.0,41197823251.0,,11189616952.0,108216425227.0,,1806971333.0,3642626225.0,,233239085165.0
- Khẩu hao,Doanh thu giữa các bộ phận > - Khẩu hao,- Khẩu hao,66.327.326.564,20.985.757.158,-,11.189.616.952,97.323.217.436,-,1.806.971.333,3.617.793.633,,201.250.683.076,66327326564.0,20985757158.0,,11189616952.0,97323217436.0,,1806971333.0,3617793633.0,,201250683076.0
"- Chi phí phân bổ142,242","Doanh thu giữa các bộ phận > - Chi phí phân bổ142,242","- Chi phí phân bổ142,242",858.295.613,20.212.066.093,-,-,10.893.207.791,-,-,24.832.592,,31.988.402.089,858295613.0,20212066093.0,,,10893207791.0,,,24832592.0,,31988402089.0
Khẩu hao và chi phí không phân bổ,Doanh thu giữa các bộ phận > Khẩu hao và chi phí không phân bổ,Khẩu hao và chi phí không phân bổ,,,,,,,,,,15.570.370.779,,,,,,,,,,15570370779.0
