row_label_raw,row_label_full,col_0,Tình hình hoạt động,31/12/2020 > Tỷ lệ vốn,31/12/2020 > Số lượng cổ phần,31/12/2020 > Giá trị khoản đầu tư theo phương pháp vốn chủ sở hữu,01/01/2020 > Giá trị khoản đầu tư theo phương pháp vốn chủ sở hữu,numeric__Tình hình hoạt động,numeric__31/12/2020 > Tỷ lệ vốn,numeric__31/12/2020 > Số lượng cổ phần,numeric__31/12/2020 > Giá trị khoản đầu tư theo phương pháp vốn chủ sở hữu,numeric__01/01/2020 > Giá trị khoản đầu tư theo phương pháp vốn chủ sở hữu
Công ty CP Tư vấn và Xây dựng Giao thông Gia Lai,Công ty CP Tư vấn và Xây dựng Giao thông Gia Lai,Công ty CP Tư vấn và Xây dựng Giao thông Gia Lai,Đang hoạt động,"20,0%",5.922,7.282.691.484,7.176.651.058,,0.2,5922.0,7282691484.0,7176651058.0
Cộng,Cộng,Cộng,,,,7.282.691.484,7.176.651.058,,,,7282691484.0,7176651058.0
