row_label_raw,row_label_full,31/12/2020,Không quá 1 năm,Trên 1 năm,Tổng,numeric__Không quá 1 năm,numeric__Trên 1 năm,numeric__Tổng
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,138.061.045.269,-,138.061.045.269,138061045269.0,,138061045269.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,-,-,-,,,
Phải thu khách hàng,Chứng khoán kinh doanh > Phải thu khách hàng,Phải thu khách hàng,625.963.411.048,-,625.963.411.048,625963411048.0,,625963411048.0
Phải thu về cho vay,Chứng khoán kinh doanh > Phải thu về cho vay,Phải thu về cho vay,856.144.666.801,1.444.970.154.339,2.301.114.821.140,856144666801.0,1444970154339.0,2301114821140.0
Phải thu khác,Chứng khoán kinh doanh > Phải thu khác,Phải thu khác,564.424.790.289,1.294.603.100,565.719.393.389,564424790289.0,1294603100.0,565719393389.0
Cộng,Chứng khoán kinh doanh > Cộng,Cộng,2.184.593.913.407,1.446.264.757.439,3.630.858.670.846,2184593913407.0,1446264757439.0,3630858670846.0
01/01/2020,01/01/2020,01/01/2020,Không quá 1 năm,Trên 1 năm,Tổng,,,
Tiền và các khoản tương đương tiền,01/01/2020 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,168.009.328.834,-,168.009.328.834,168009328834.0,,168009328834.0
Chứng khoán kinh doanh,01/01/2020 > Chứng khoán kinh doanh,Chứng khoán kinh doanh,245.807.632.154,-,245.807.632.154,245807632154.0,,245807632154.0
Phải thu khách hàng,01/01/2020 > Phải thu khách hàng,Phải thu khách hàng,630.924.258.735,-,630.924.258.735,630924258735.0,,630924258735.0
Phải thu về cho vay,01/01/2020 > Phải thu về cho vay,Phải thu về cho vay,1.142.742.968.268,1.221.645.803.782,2.364.388.772.050,1142742968268.0,1221645803782.0,2364388772050.0
Phải thu khác,01/01/2020 > Phải thu khác,Phải thu khác,736.158.370.943,4.760.214.828,740.918.585.771,736158370943.0,4760214828.0,740918585771.0
Cộng,01/01/2020 > Cộng,Cộng,2.923.642.558.934,1.226.406.018.610,4.150.048.577.544,2923642558934.0,1226406018610.0,4150048577544.0
