row_label_raw,row_label_full,col_0,Số đầu kỳ,Tăng trong kỳ,Giảm trong kỳ,Tăng/giảm do hợp nhất,Ảnh hưởng do chuyển đổi báo cáo,Số cuối kỳ,numeric__Số đầu kỳ,numeric__Tăng trong kỳ,numeric__Giảm trong kỳ,numeric__Tăng/giảm do hợp nhất,numeric__Ảnh hưởng do chuyển đổi báo cáo,numeric__Số cuối kỳ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,424.448.710.097,95.517.068.799,159.659.293.016,(23.106.997.780),317.234.563,337.516.722.663,424448710097.0,95517068799.0,159659293016.0,-23106997780.0,317234563.0,337516722663.0
- Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai,- Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai,- Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai,28.933.000.000,-,6.327.939.870,-,-,22.605.060.130,28933000000.0,,6327939870.0,,,22605060130.0
- Ngân hàng TMCP ĐT&PT Việt Nam - CN Gia Lai,- Ngân hàng TMCP ĐT&PT Việt Nam - CN Gia Lai,- Ngân hàng TMCP ĐT&PT Việt Nam - CN Gia Lai,240.376.499.400,-,64.121.684.000,-,-,176.254.815.400,240376499400.0,,64121684000.0,,,176254815400.0
- Ngân hàng Nông nghiệp và Phát triển Nông thôn - CN Gia Lai,- Ngân hàng Nông nghiệp và Phát triển Nông thôn - CN Gia Lai,- Ngân hàng Nông nghiệp và Phát triển Nông thôn - CN Gia Lai,47.183.370.675,64.350.158.968,69.186.360.480,-,-,42.347.169.163,47183370675.0,64350158968.0,69186360480.0,,,42347169163.0
- Shinhan Bank (KRW),- Shinhan Bank (KRW),- Shinhan Bank (KRW),5.018.551.411,-,-,-,291.387.630,5.309.939.041,5018551411.0,,,,291387630.0,5309939041.0
- Tradewind Invest LLC,- Tradewind Invest LLC,- Tradewind Invest LLC,3.662.794.733,-,3.688.641.666,-,25.846.933,-,3662794733.0,,3688641666.0,,25846933.0,
- Công ty CP Đầu tư Xây dựng Vạn Gia Long (*),- Công ty CP Đầu tư Xây dựng Vạn Gia Long (*),- Công ty CP Đầu tư Xây dựng Vạn Gia Long (*),38.375.903.090,26.968.029.831,-,-,-,65.343.932.921,38375903090.0,26968029831.0,,,,65343932921.0
- Công ty CP ĐT&PT Điện năng Đức Long Gia Lai (*),- Công ty CP ĐT&PT Điện năng Đức Long Gia Lai (*),- Công ty CP ĐT&PT Điện năng Đức Long Gia Lai (*),23.106.997.780,-,-,(23.106.997.780),-,-,23106997780.0,,,-23106997780.0,,
- Công ty CP Tập đoàn Năng lượng Tái tạo Việt Nam (*),- Công ty CP Tập đoàn Năng lượng Tái tạo Việt Nam (*),- Công ty CP Tập đoàn Năng lượng Tái tạo Việt Nam (*),2.878.040.008,1.230.400.000,100.000.000,-,-,4.008.440.008,2878040008.0,1230400000.0,100000000.0,,,4008440008.0
- Các đối tượng khác (*),- Các đối tượng khác (*),- Các đối tượng khác (*),34.913.553.000,2.968.480.000,16.234.667.000,-,-,21.647.366.000,34913553000.0,2968480000.0,16234667000.0,,,21647366000.0
Các khoản mượn bằng tiền,Các khoản mượn bằng tiền,Các khoản mượn bằng tiền,18.809.943.900,111.798.100.000,108.844.943.900,-,-,21.763.100.000,18809943900.0,111798100000.0,108844943900.0,,,21763100000.0
- Nguyễn Kim Thắng,- Nguyễn Kim Thắng,- Nguyễn Kim Thắng,-,2.000.000.000,-,-,-,2.000.000.000,,2000000000.0,,,,2000000000.0
- Công ty Cổ phần Đầu tư Phát triển Địa ốc Nam Kim,- Công ty Cổ phần Đầu tư Phát triển Địa ốc Nam Kim,- Công ty Cổ phần Đầu tư Phát triển Địa ốc Nam Kim,-,8.055.000.000,-,-,-,8.055.000.000,,8055000000.0,,,,8055000000.0
- Phan Đình Trung (*),- Phan Đình Trung (*),- Phan Đình Trung (*),18.640.000.000,75.500.000.000,94.140.000.000,-,-,-,18640000000.0,75500000000.0,94140000000.0,,,
- Công ty TNHH MTV Nông Trại Cao Nguyên Quảng Phú 1,- Công ty TNHH MTV Nông Trại Cao Nguyên Quảng Phú 1,- Công ty TNHH MTV Nông Trại Cao Nguyên Quảng Phú 1,-,1.650.000.000,-,-,-,1.650.000.000,,1650000000.0,,,,1650000000.0
- Công ty TNHH Nông nghiệp Đức Long Gia Lai,- Công ty TNHH Nông nghiệp Đức Long Gia Lai,- Công ty TNHH Nông nghiệp Đức Long Gia Lai,-,3.000.000.000,3.000.000.000,-,-,-,,3000000000.0,3000000000.0,,,
- Các đối tượng khác,- Các đối tượng khác,- Các đối tượng khác,169.943.900,21.593.100.000,11.704.943.900,-,-,10.058.100.000,169943900.0,21593100000.0,11704943900.0,,,10058100000.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,513.213.328.853,189.581.102.000,67.976.607.524,400.000.000,-,635.217.823.329,513213328853.0,189581102000.0,67976607524.0,400000000.0,,635217823329.0
- Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai,- Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai,- Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai,146.557.000.000,172.705.000.000,66.557.000.000,-,-,252.705.000.000,146557000000.0,172705000000.0,66557000000.0,,,252705000000.0
- Ngân hàng TMCP ĐT&PT Việt Nam - CN Gia Lai,- Ngân hàng TMCP ĐT&PT Việt Nam - CN Gia Lai,- Ngân hàng TMCP ĐT&PT Việt Nam - CN Gia Lai,146.889.858.000,6.400.000.000,200.000.000,400.000.000,-,153.489.858.000,146889858000.0,6400000000.0,200000000.0,400000000.0,,153489858000.0
