row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,31/12/2020 VND,01/01/2020 VND,numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2020 VND,numeric__01/01/2020 VND
C.,C.,C.,NỘ PHẢI TRẢ,300,,5.724.013.746.037,5.184.458.925.665,,300.0,,5724013746037.0,5184458925665.0
I.,I.,I.,Nợ ngắn hạn,310,,3.033.674.457.998,2.761.363.101.170,,310.0,,3033674457998.0,2761363101170.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,20,510.831.470.239,505.795.414.901,,311.0,20.0,510831470239.0,505795414901.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,21,140.233.087.163,129.582.383.468,,312.0,21.0,140233087163.0,129582383468.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,22,85.960.420.675,111.952.512.916,,313.0,22.0,85960420675.0,111952512916.0
4.,4.,4.,Phải trả người lao động,314,,43.485.934.801,66.378.394.560,,314.0,,43485934801.0,66378394560.0
5.,5.,5.,Chỉ phí phải trả ngắn hạn,315,23.a,413.261.827.977,252.465.215.344,,315.0,,413261827977.0,252465215344.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,24,64.727.273,177.727.274,,318.0,24.0,64727273.0,177727274.0
7.,7.,7.,Phải trả ngắn hạn khác,319,25.a,455.836.724.637,356.414.286.616,,319.0,,455836724637.0,356414286616.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,320,26.a,1.380.260.781.992,1.334.846.482.850,,320.0,,1380260781992.0,1334846482850.0
10.,10.,10.,"Quỹ khen thưởng, phúc lợi",322,,3.739.483.241,3.750.683.241,,322.0,,3739483241.0,3750683241.0
II.,II.,II.,Nợ dài hạn,330,,2.690.339.288.039,2.423.095.824.495,,330.0,,2690339288039.0,2423095824495.0
1.,1.,1.,Chỉ phí phải trả dài hạn,333,23.b,13.366.626.818,1.762.792.456,,333.0,,13366626818.0,1762792456.0
2.,2.,2.,Doanh thu chưa thực hiện dài hạn,336,,513.636.364,-,,336.0,,513636364.0,
3.,3.,3.,Phải trả dài hạn khác,337,25.b,510.960.376,368.804.178,,337.0,,510960376.0,368804178.0
4.,4.,4.,Vay và nợ thuê tài chính dài hạn,338,26.b,2.586.779.223.774,2.386.513.327.318,,338.0,,2586779223774.0,2386513327318.0
5.,5.,5.,Thuế thu nhập hoãn lại phải trả,341,27,89.168.840.707,34.450.900.543,,341.0,27.0,89168840707.0,34450900543.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,2.506.555.000.343,3.430.053.716.590,,400.0,,2506555000343.0,3430053716590.0
I.,I.,I.,Vốn chủ sở hữu,410,,2.506.024.760.468,3.429.623.057.129,,410.0,,2506024760468.0,3429623057129.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,28,2.993.097.200.000,2.993.097.200.000,,411.0,28.0,2993097200000.0,2993097200000.0
,,,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,2.993.097.200.000,2.993.097.200.000,,,,2993097200000.0,2993097200000.0
,,,- Cổ phiếu ưu đãi,411b,,-,-,,,,,
2.,2.,2.,Thặng dư vốn cổ phần,412,28,50.510.908.328,50.510.908.328,,412.0,28.0,50510908328.0,50510908328.0
3.,3.,3.,Chênh lệch tỷ giá hối đoái,417,28,11.476.301.383,9.217.947.940,,417.0,28.0,11476301383.0,9217947940.0
4.,4.,4.,Quỹ đầu tư phát triển,418,28,6.196.436.959,6.196.436.959,,418.0,28.0,6196436959.0,6196436959.0
5.,5.,5.,Lợi nhuận sau thuế chưa phân phối,421,28,(865.906.565.649),40.694.978.917,,421.0,28.0,-865906565649.0,40694978917.0
,,,- LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,,40.694.978.917,42.003.230.080,,,,40694978917.0,42003230080.0
,,,- LNST chưa phân phối kỳ này,421b,,(906.601.544.566),(1.308.251.163),,,,-906601544566.0,-1308251163.0
6.,6.,6.,Lợi ích cổ đông không kiểm soát,429,,310.650.479.447,329.905.584.985,,429.0,,310650479447.0,329905584985.0
II.,II.,II.,Nguồn kinh phí và quỹ khác,430,,530.239.875,430.659.461,,430.0,,530239875.0,430659461.0
1.,1.,1.,Nguồn kinh phí,431,,530.239.875,430.659.461,,431.0,,530239875.0,430659461.0
2.,2.,2.,Nguồn kinh phí đã hình thành TSCĐ,432,,-,-,,432.0,,,
,,,TỔNG CỘNG NGUỐN VỐN,430,,8.230.568.746.380,8.614.512.642.255,,430.0,,8230568746380.0,8614512642255.0
