row_label_raw,row_label_full,col_0,Quyền sử dụng đất (*),Nhà cửa vật kiến trúc,Cộng,numeric__Quyền sử dụng đất (*),numeric__Nhà cửa vật kiến trúc,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu kỳ,Nguyên giá > Số đầu kỳ,Số đầu kỳ,66.720.417.973,56.149.693.891,122.870.111.864,66720417973.0,56149693891.0,122870111864.0
Tăng trong kỳ,Tăng trong kỳ,Tăng trong kỳ,-,-,-,,,
"Thanh lý, nhượng bán","Tăng trong kỳ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",66.720.417.973,-,66.720.417.973,66720417973.0,,66720417973.0
Số cuối kỳ,Tăng trong kỳ > Số cuối kỳ,Số cuối kỳ,-,56.149.693.891,56.149.693.891,,56149693891.0,56149693891.0
Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,,,
Số đầu kỳ,Khấu hao > Số đầu kỳ,Số đầu kỳ,-,21.452.734.481,21.452.734.481,,21452734481.0,21452734481.0
Khấu hao trong kỳ,Khấu hao > Khấu hao trong kỳ,Khấu hao trong kỳ,-,1.884.591.808,1.884.591.808,,1884591808.0,1884591808.0
"Thanh lý, nhượng bán","Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,-,,,
Số cuối kỳ,"Thanh lý, nhượng bán > Số cuối kỳ",Số cuối kỳ,-,23.337.326.289,23.337.326.289,,23337326289.0,23337326289.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu kỳ,Giá trị còn lại > Số đầu kỳ,Số đầu kỳ,66.720.417.973,34.696.959.410,101.417.377.383,66720417973.0,34696959410.0,101417377383.0
Số cuối kỳ,Giá trị còn lại > Số cuối kỳ,Số cuối kỳ,-,32.812.367.602,32.812.367.602,,32812367602.0,32812367602.0
