row_label_raw,row_label_full,col_0,Số đầu kỳ,Số đầu kỳ_1,Số phải nộp trong kỳ,Số thực nộp trong kỳ,Thay đổi do hợp nhất,Ảnh hưởng do chuyển đổi,Số cuối kỳ,Số cuối kỳ_1,numeric__Số đầu kỳ,numeric__Số đầu kỳ_1,numeric__Số phải nộp trong kỳ,numeric__Số thực nộp trong kỳ,numeric__Thay đổi do hợp nhất,numeric__Ảnh hưởng do chuyển đổi,numeric__Số cuối kỳ,numeric__Số cuối kỳ_1
,,,Phải thu,Phải trả,Số phải nộp trong kỳ,Số thực nộp trong kỳ,Thay đổi do hợp nhất,Ảnh hưởng do chuyển đổi,Phải thu,Phải trả,,,,,,,,
Thuế giá trị gia tăng phải nộp,Thuế giá trị gia tăng phải nộp,Thuế giá trị gia tăng phải nộp,105.197.382,9.064.797.833,31.606.388.197,34.680.948.904,1.982.114.230,-,105.197.382,7.972.351.356,105197382.0,9064797833.0,31606388197.0,34680948904.0,1982114230.0,,105197382.0,7972351356.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,592.010.759,92.679.909.569,13.637.499.505,38.396.048.567,32.569.377,271.088.209,233.855.580,64.112.708.746,592010759.0,92679909569.0,13637499505.0,38396048567.0,32569377.0,271088209.0,233855580.0,64112708746.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,234.690.401,2.020.353.776,772.440.271,739.527.866,1.612.233,-,45.581.571,1.865.769.584,234690401.0,2020353776.0,772440271.0,739527866.0,1612233.0,,45581571.0,1865769584.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,-,44.125.620,2.668.006.240,2.634.705.697,300.811.732,-,-,378.237.895,,44125620.0,2668006240.0,2634705697.0,300811732.0,,,378237895.0
Thuế nhà đất,Thuế nhà đất,Thuế nhà đất,29.511.936,-,-,-,-,-,29.511.936,-,29511936.0,,,,,,29511936.0,
Tiền thuê đất,Tiền thuê đất,Tiền thuê đất,96.823.442,3.479.566.290,10.506.325.487,7.358.154.727,-,-,-,6.530.913.608,96823442.0,3479566290.0,10506325487.0,7358154727.0,,,,6530913608.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,4.663.759.828,3.193.150.616,1.056.893.683,108.205.504,-,-,5.100.439.486,,4663759828.0,3193150616.0,1056893683.0,108205504.0,,,5100439486.0
Phí và lệ phí,Phí và lệ phí,Phí và lệ phí,131.510,-,113.689.079,113.689.079,-,-,131.510,-,131510.0,,113689079.0,113689079.0,,,131510.0,
Cộng,Cộng,Cộng,1.058.365.430,111.952.512.916,62.497.499.395,84.979.968.523,2.425.313.076,271.088.209,414.277.979,85.960.420.675,1058365430.0,111952512916.0,62497499395.0,84979968523.0,2425313076.0,271088209.0,414277979.0,85960420675.0
