row_label_raw,row_label_full,col_0,TÀI SẢN,Thuyết,Thuyết_1,Thuyết_2,Thuyết_3,numeric__TÀI SẢN,numeric__Thuyết,numeric__Thuyết_1,numeric__Thuyết_2,numeric__Thuyết_3
,,,TÀI SẢN,Mã số,minh,Số cuối năm,Số đầu năm,,,,,
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,6.654.898.040.414,7.012.092.363.170,,200.0,,6654898040414.0,7012092363170.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,21.390.221.488,19.125.282.100,,210.0,,21390221488.0,19125282100.0
1.,1.,1.,Phải thu dài hạn khác,216,8,21.390.221.488,19.125.282.100,,216.0,8.0,21390221488.0,19125282100.0
II.,II.,II.,Tài sản cố định,220,,5.001.379.784.456,5.439.137.959.453,,220.0,,5001379784456.0,5439137959453.0
1.,1.,1.,Tài sản cố định hữu hình,221,12,4.897.487.031.300,5.334.570.231.936,,221.0,12.0,4897487031300.0,5334570231936.0
,,,- Nguyên giá,222,,13.895.577.902.629,13.796.728.976.500,,222.0,,13895577902629.0,13796728976500.0
,,,- Giá trị hao mòn lũy kế,223,,(8.998.090.871.329),(8.462.158.744.564),,223.0,,-8998090871329.0,-8462158744564.0
2.,2.,2.,Tài sản cố định vô hình,227,13,103.892.753.156,104.567.727.517,,227.0,13.0,103892753156.0,104567727517.0
,,,- Nguyên giá,228,,145.239.071.816,143.398.031.724,,228.0,,145239071816.0,143398031724.0
,,,- Giá trị hao mòn lũy kế,229,,(41.346.318.660),(38.830.304.207),,229.0,,-41346318660.0,-38830304207.0
III.,III.,III.,Tài sản dở dang dài hạn,240,,1.061.106.457.528,1.031.790.459.241,,240.0,,1061106457528.0,1031790459241.0
1.,1.,1.,Chi phí xây dựng cơ bản dở dang,242,14,1.061.106.457.528,1.031.790.459.241,,242.0,14.0,1061106457528.0,1031790459241.0
IV.,IV.,IV.,Đầu tư tài chính dài hạn,250,5,31.171.000.000,26.082.000.000,,250.0,5.0,31171000000.0,26082000000.0
1.,1.,1.,Đầu tư góp vốn vào đơn vị khác,253,,56.000.000.000,56.000.000.000,,253.0,,56000000000.0,56000000000.0
2.,2.,2.,Dự phòng đầu tư tài chính dài hạn,254,,(24.829.000.000),(29.918.000.000),,254.0,,-24829000000.0,-29918000000.0
V.,V.,V.,Tài sản dài hạn khác,260,,539.750.137.884,495.822.743.634,,260.0,,539750137884.0,495822743634.0
1.,1.,1.,Chi phí trả trước dài hạn,261,10,403.426.914.255,383.409.594.116,,261.0,10.0,403426914255.0,383409594116.0
2.,2.,2.,Tài sản thuế thu nhập hoãn lại,262,30,8.963.184.425,12.764.403.292,,262.0,30.0,8963184425.0,12764403292.0
3.,3.,3.,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,9,127.360.039.204,99.648.746.226,,263.0,9.0,127360039204.0,99648746226.0
VI.,VI.,VI.,Lợi thế thương mại,269,,100.439.058,133.918.742,,269.0,,100439058.0,133918742.0
,,,TỔNG CỘNG TÀI SẢN (270 = 100 + 200),270,,8.623.749.977.278,9.385.057.537.636,,270.0,,8623749977278.0,9385057537636.0
