row_label_raw,row_label_full,col_0,Số đầu năm > Phải thu,Số đầu năm > Phải nộp,Số phải nộp/ thực thu trong năm,Số đã thực nộp/ được khấu trừ trong năm,Số cuối năm > Phải thu,Số cuối năm > Phải nộp,numeric__Số đầu năm > Phải thu,numeric__Số đầu năm > Phải nộp,numeric__Số phải nộp/ thực thu trong năm,numeric__Số đã thực nộp/ được khấu trừ trong năm,numeric__Số cuối năm > Phải thu,numeric__Số cuối năm > Phải nộp
,,,,VND,VND,VND,,VND,,,,,,
Thuế giá trị gia tăng đầu ra,Thuế giá trị gia tăng đầu ra,Thuế giá trị gia tăng đầu ra,-,-,86.322.064.890,85.172.960.504,-,1.149.104.386,,,86322064890.0,85172960504.0,,1149104386.0
Thuế giá trị gia tăng hàng nhập khẩu,Thuế giá trị gia tăng hàng nhập khẩu,Thuế giá trị gia tăng hàng nhập khẩu,-,-,22.060.193,22.060.193,-,-,,,22060193.0,22060193.0,,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,18.121.384.050,3.010.138.301,18.121.384.050,-,3.010.138.301,,18121384050.0,3010138301.0,18121384050.0,,3010138301.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,-,6.350.378.528,34.642.959.938,36.813.124.394,-,4.180.214.072,,6350378528.0,34642959938.0,36813124394.0,,4180214072.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,-,5.211.619.531,44.841.154.468,46.720.605.858,-,3.332.168.141,,5211619531.0,44841154468.0,46720605858.0,,3332168141.0
Phí bảo vệ môi trường,Phí bảo vệ môi trường,Phí bảo vệ môi trường,-,2.074.662.128,18.000.531.736,18.704.939.854,-,1.370.254.010,,2074662128.0,18000531736.0,18704939854.0,,1370254010.0
Phí cấp quyền khai thác khoáng sản,Phí cấp quyền khai thác khoáng sản,Phí cấp quyền khai thác khoáng sản,-,-,41.118.351.680,41.118.351.680,-,-,,,41118351680.0,41118351680.0,,
"Thuế nhà đất, tiền thuê đất và các loại thuế khác","Thuế nhà đất, tiền thuê đất và các loại thuế khác","Thuế nhà đất, tiền thuê đất và các loại thuế khác",561.929,38.402.358,59.205.741.342,59.201.451.783,561.929,42.691.917,561929.0,38402358.0,59205741342.0,59201451783.0,561929.0,42691917.0
,,,561.929,31.796.446.595,287.163.002.548,305.874.878.316,561.929,13.084.570.827,561929.0,31796446595.0,287163002548.0,305874878316.0,561929.0,13084570827.0
