row_label_raw,row_label_full,col_0,Years,numeric__Years
Land use rights,Land use rights,Land use rights,50,50.0
Computer software,Computer software,Computer software,03 - 06,
"Copyrights, patents","Copyrights, patents","Copyrights, patents",06 - 20,
