row_label_raw,row_label_full,Ngoại tệ các loại,Đơn vị,Số cuối năm,Số đầu năm,numeric__Đơn vị,numeric__Số cuối năm,numeric__Số đầu năm
Đô la Mỹ,Đô la Mỹ,Đô la Mỹ,USD,1.547.134,1.437.433,,1547134.0,1437433.0
Euro,Euro,Euro,EUR,528,1.462,,528.0,1462.0
Đô la Úc,Đô la Úc,Đô la Úc,AUD,241,577,,241.0,577.0
,,,,Số cuối năm,Số đầu năm,,,
Hàng giữ hộ,Hàng giữ hộ,Hàng giữ hộ,,Cái,Cái,,,
Máy biến áp,Hàng giữ hộ > Máy biến áp,Máy biến áp,,48,163,,48.0,163.0
,,,,Số cuối năm,Số đầu năm,,,
Nợ phải thu khó đòi đã xử lý,Nợ phải thu khó đòi đã xử lý,Nợ phải thu khó đòi đã xử lý,Đơn vị,,,,,
Nợ phải thu khó đòi đã xử lý,Nợ phải thu khó đòi đã xử lý > Nợ phải thu khó đòi đã xử lý,Nợ phải thu khó đòi đã xử lý,VND,114.802.348.841,57.256.872.261,,114802348841.0,57256872261.0
