row_label_raw,row_label_full,ITEMS,Codes,Notes,Current year,Prior year,numeric__Codes,numeric__Notes,numeric__Current year,numeric__Prior year
1. Gross revenue from goods sold and services rendered,1. Gross revenue from goods sold and services rendered,1. Gross revenue from goods sold and services rendered,01,29,"21,351,265,987,360","16,757,537,132,187",1.0,29.0,,
2. Deductions,2. Deductions,2. Deductions,02,29,"221,644,168,033","150,268,605,674",2.0,29.0,,
3. Net revenue from goods sold and services rendered (10=01-02),3. Net revenue from goods sold and services rendered (10=01-02),3. Net revenue from goods sold and services rendered (10=01-02),10,29,"21,129,621,819,327","16,607,268,526,513",10.0,29.0,,
4. Cost of sales,4. Cost of sales,4. Cost of sales,11,30,"18,065,660,920,766","14,581,337,221,301",11.0,30.0,,
5. Gross profit from goods sold and services rendered (20=10-11),5. Gross profit from goods sold and services rendered (20=10-11),5. Gross profit from goods sold and services rendered (20=10-11),20,,"3,063,960,898,561","2,025,931,305,212",20.0,,,
6. Financial income,6. Financial income,6. Financial income,21,32,"544,051,012,220","571,666,502,678",21.0,32.0,,
7. Financial expenses,7. Financial expenses,7. Financial expenses,22,33,"608,826,839,674","901,030,200,655",22.0,33.0,,
- In which: Interest expense and bond issuance expense,- In which: Interest expense and bond issuance expense,- In which: Interest expense and bond issuance expense,23,,"269,291,875,033","575,944,738,472",23.0,,,
8. Share of net profit from associates,8. Share of net profit from associates,8. Share of net profit from associates,24,16.2,"24,720,477,307","1,120,672,816",24.0,162.0,,
9. Selling expenses,9. Selling expenses,9. Selling expenses,25,34,"410,091,473,654","327,729,790,359",25.0,34.0,,
10. General and administration expenses,10. General and administration expenses,10. General and administration expenses,26,34,"457,243,436,130","420,242,788,855",26.0,34.0,,
11. Operating profit (30=20+(21-22)+24-(25+26)),11. Operating profit (30=20+(21-22)+24-(25+26)),11. Operating profit (30=20+(21-22)+24-(25+26)),30,,"2,156,570,638,630","949,715,700,837",30.0,,,
12. Other income,12. Other income,12. Other income,31,,"13,640,263,988","23,590,386,729",31.0,,,
13. Other expenses,13. Other expenses,13. Other expenses,32,,"17,291,241,240","6,215,893,620",32.0,,,
14. (Loss)/profit from other activities (40=31-32),14. (Loss)/profit from other activities (40=31-32),14. (Loss)/profit from other activities (40=31-32),40,,"(3,650,977,252)","17,374,493,109",40.0,,,
15. Accounting profit before tax (50=30+40),15. Accounting profit before tax (50=30+40),15. Accounting profit before tax (50=30+40),50,,"2,152,919,661,378","967,090,193,946",50.0,,,
16. Current corporate income tax expense,16. Current corporate income tax expense,16. Current corporate income tax expense,51,35,"458,018,875,089","184,637,766,680",51.0,35.0,,
17. Deferred corporate tax (income),17. Deferred corporate tax (income),17. Deferred corporate tax (income),52,35,"(19,675,060,098)","(10,217,439,825)",52.0,35.0,,
18. Net profit after corporate income tax (60=50-51-52),18. Net profit after corporate income tax (60=50-51-52),18. Net profit after corporate income tax (60=50-51-52),60,,"1,714,575,846,387","792,669,867,091",60.0,,,
Profit after tax attributable to the Holding Company,Profit after tax attributable to the Holding Company,Profit after tax attributable to the Holding Company,61,,"1,588,234,634,885","745,377,314,586",61.0,,,
Profit after tax attributable to non-controlling shareholders,Profit after tax attributable to non-controlling shareholders,Profit after tax attributable to non-controlling shareholders,62,,"126,341,211,502","47,292,552,505",62.0,,,
19. Basic earnings per share,19. Basic earnings per share,19. Basic earnings per share,70,36,,,70.0,36.0,,
Trinh Thi Hang Phuong Preparer,Trinh Thi Hang Phuong Preparer,Trinh Thi Hang Phuong Preparer,Nguyen Thi Nga Chief Accountant,Nguyen Thi Nga Chief Accountant,,,,,,
