row_label_raw,row_label_full,Bank,Closing balance,Maturity date and interest payment period,Interest rate,Collaterals,numeric__Closing balance,numeric__Maturity date and interest payment period,numeric__Interest rate,numeric__Collaterals
,,,VND,,%/year,,,,,
HSBC bank (Vietnam) - Hanoi Branch,HSBC bank (Vietnam) - Hanoi Branch,HSBC bank (Vietnam) - Hanoi Branch,"104,607,160,043",Loan term is up to 5 months. Interest is paid monthly. The last loan agreement expires on 09 May 2025.,4.2% - 4.3%,Receivables formed from loan contacts,,,,
HSBC bank (Vietnam) - Hanoi Branch,HSBC bank (Vietnam) - Hanoi Branch > HSBC bank (Vietnam) - Hanoi Branch,HSBC bank (Vietnam) - Hanoi Branch,"70,136,666,233","Loan term is 5 months. Interest is paid monthly, calculation of the full month from the date of disbursement according to each contract. The last loan agreement expires on 16 May 2025",4.2%,"Mortgage Contract No. VHN 166721/4/MR dated 28 August 2024 between GELEX Electricity and HSBC, receivables formed from loan contacts funded by HSBC. Acknowledgement Letter dated 04 September 2024 of GELEX Group",,,0.42,
Siam Commercial Bank Public Company Limited - Ho Chi Minh Branch,Siam Commercial Bank Public Company Limited - Ho Chi Minh Branch,Siam Commercial Bank Public Company Limited - Ho Chi Minh Branch,"98,000,000,000",Loan term is 3 months. Interest is paid monthly. The last loan agreement expires on 20 March 2024,2.8% - 3.0%,Unsecured,,,,
Vietnam Technological and Commercial Joint Stock Bank - Head Office,Siam Commercial Bank Public Company Limited - Ho Chi Minh Branch > Vietnam Technological and Commercial Joint Stock Bank - Head Office,Vietnam Technological and Commercial Joint Stock Bank - Head Office,"94,773,804,580",Loan term is 120 days. Interest is paid monthly. The last loan agreement expires on 25 January 2025,4.6%,Unsecured,,,0.46,
Shinhan Bank Vietnam Limited - Bien Hoa Branch,Siam Commercial Bank Public Company Limited - Ho Chi Minh Branch > Shinhan Bank Vietnam Limited - Bien Hoa Branch,Shinhan Bank Vietnam Limited - Bien Hoa Branch,"87,755,497,972",Loan term is up to 06 months. Interest is paid monthly.,3.5%,Receivables from land and factory at Long Duc Industrial Park,,,0.35,
Vietnam International Commercial Joint Stock Bank - Sai Gon Branch,Siam Commercial Bank Public Company Limited - Ho Chi Minh Branch > Vietnam International Commercial Joint Stock Bank - Sai Gon Branch,Vietnam International Commercial Joint Stock Bank - Sai Gon Branch,"60,000,000,000",Loan term is 4 months. Interest is paid monthly. The last loan agreement expires on 10 April 2025,4.0%,Unsecured,,,0.4,
The Maritime Commercial Joint Stock Bank - Transaction Center,Siam Commercial Bank Public Company Limited - Ho Chi Minh Branch > The Maritime Commercial Joint Stock Bank - Transaction Center,The Maritime Commercial Joint Stock Bank - Transaction Center,"41,911,949,224",Loan term is up to 5 months. Interest is paid monthly on 26th. The last loan agreement expires on 27 May 2025.,4.4%,Right to collect debt from accounts receivables,,,0.44,
Malayan Banking Berhad - Ho Chi Minh Branch,Siam Commercial Bank Public Company Limited - Ho Chi Minh Branch > Malayan Banking Berhad - Ho Chi Minh Branch,Malayan Banking Berhad - Ho Chi Minh Branch,"30,653,971,749",Loan term up to 05 months. Interest is paid monthly.,4.1%,Unsecured,,,0.41,
Vietnam Technological and Commercial Joint Stock Bank - Hanoi Branch,Vietnam Technological and Commercial Joint Stock Bank - Hanoi Branch,Vietnam Technological and Commercial Joint Stock Bank - Hanoi Branch,"29,124,136,901",The term of maintaining the credit limit is from 25 November 2024 to 25 November 2025. Interest is paid monthly on 25th.,According to each debt acknowledgment document,"Secured by inventories and receivables formed from loan contacts, Guarantee Letter from GELEX Group",,,,
