row_label_raw,row_label_full,STT,Tên công ty con,Nơi thành lập và hoạt động,Tỷ lệ lợi ích trực tiếp,Tỷ lệ quyền biểu quyết,Hoạt động chính,numeric__Tên công ty con,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ lợi ích trực tiếp,numeric__Tỷ lệ quyền biểu quyết,numeric__Hoạt động chính
1.,1.,1.,"Công ty Cổ phần Dây cấp Điện Việt Nam (""CADIVI"")",Thành phố Hồ Chí Minh,"97,09%","97,09%",Sản xuất kinh doanh dây và cấp điện,,,0.9709,0.9709,
2.,2.,2.,"Công ty Cổ phần Chế tạo Điện cơ Hà Nội (""HEM"")",Hà Nội,"76,70%","76,70%","Sản xuất, chế tạo, sửa chữa, kinh doanh động cơ điện và thiết bị điện",,,0.767,0.767,
3.,3.,3.,"Công ty Dây đồng Việt Nam CFT (""CFT"")",Đồng Nai,100%,100%,Sản xuất dây đồng và dây tráng thiếc,,,1.0,1.0,
4.,4.,4.,"Công ty Cổ phần Thiết bị Điện (""THIBIDI"")",Đồng Nai,"98,07%","98,07%","Sản xuất, chế tạo, sửa chữa, kinh doanh động cơ điện và thiết bị điện",,,0.9806999999999999,0.9806999999999999,
