row_label_raw,row_label_full,col_0,col_1,Closing balance,Opening balance,numeric__col_1,numeric__Closing balance,numeric__Opening balance
Foreign currencies,Foreign currencies,Foreign currencies,Unit,,,,,
United States Dollar,United States Dollar,United States Dollar,USD,"1,547,134","1,437,433",,,
Euro,United States Dollar > Euro,Euro,EUR,528,"1,462",,528.0,1.462
Australian Dollar,United States Dollar > Australian Dollar,Australian Dollar,AUD,241,577,,241.0,577.0
,,,,Closing balance,Opening balance,,,
,,,,Unit,Unit,,,
Custody goods Transformers,United States Dollar > Custody goods Transformers,Custody goods Transformers,,48,163,,48.0,163.0
,,,,Closing balance,Opening balance,,,
,,,Unit,,,,,
Bad debts that have been written off,Bad debts that have been written off,Bad debts that have been written off,VND,"114,802,348,841","57,256,872,261",,,
