row_label_raw,row_label_full,col_0,Công ty Cổ phần Chế tạo máy điện Việt Nam - Hungari (i),Công ty Cổ phần Sản xuất Máy biến áp Truyền tải MEE,Công ty Cổ phần Thiết bị điện,Công ty Cổ phần Phú Thạnh Mỹ,Tổng,numeric__Công ty Cổ phần Chế tạo máy điện Việt Nam - Hungari (i),numeric__Công ty Cổ phần Sản xuất Máy biến áp Truyền tải MEE,numeric__Công ty Cổ phần Thiết bị điện,numeric__Công ty Cổ phần Phú Thạnh Mỹ,numeric__Tổng
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,VND,VND,VND,VND,VND,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,22.071.631.237,166.685.653.795,27.734.837.846,38.184.709.266,254.676.832.144,22071631237.0,166685653795.0,27734837846.0,38184709266.0,254676832144.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,22.071.631.237,166.685.653.795,27.734.837.846,38.184.709.266,254.676.832.144,22071631237.0,166685653795.0,27734837846.0,38184709266.0,254676832144.0
PHÂN BỔ LỦY KẾ,PHÂN BỔ LỦY KẾ,PHÂN BỔ LỦY KẾ,PHÂN BỔ LỦY KẾ,PHÂN BỔ LỦY KẾ,PHÂN BỔ LỦY KẾ,PHÂN BỔ LỦY KẾ,PHÂN BỔ LỦY KẾ,,,,,
Số dư đầu năm,PHÂN BỔ LỦY KẾ > Số dư đầu năm,Số dư đầu năm,13.242.978.740,83.342.826.900,17.946.071.551,15.861.340.773,130.393.217.964,13242978740.0,83342826900.0,17946071551.0,15861340773.0,130393217964.0
Phân bố trong năm,PHÂN BỔ LỦY KẾ > Phân bố trong năm,Phân bố trong năm,2.522.472.141,16.668.565.380,3.262.922.100,7.049.484.788,29.503.444.409,2522472141.0,16668565380.0,3262922100.0,7049484788.0,29503444409.0
Số dư cuối năm,PHÂN BỔ LỦY KẾ > Số dư cuối năm,Số dư cuối năm,15.765.450.881,100.011.392.280,21.208.993.651,22.910.825.561,159.896.662.373,15765450881.0,100011392280.0,21208993651.0,22910825561.0,159896662373.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,8.828.652.497,83.342.826.895,9.788.766.295,22.323.368.493,124.283.614.180,8828652497.0,83342826895.0,9788766295.0,22323368493.0,124283614180.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,6.306.180.356,66.674.261.515,6.525.844.195,15.273.883.705,94.780.169.771,6306180356.0,66674261515.0,6525844195.0,15273883705.0,94780169771.0
