row_label_raw,row_label_full,col_0,RESOURCES,Codes,Notes,Closing balance,Unit: VND Opening balance,numeric__RESOURCES,numeric__Codes,numeric__Notes,numeric__Closing balance,numeric__Unit: VND Opening balance
C.,C.,C.,LIABILITIES,300,,"5,949,830,020,488","7,771,052,596,049",,300.0,,,
I.,I.,I.,Current liabilities,310,,"5,380,609,149,671","6,458,680,884,042",,310.0,,,
1.,1.,1.,Short-term trade payables,311,18,"1,125,645,462,323","580,776,898,147",,311.0,18.0,,
2.,2.,2.,Short-term advances from customers,312,19,"293,533,926,852","220,725,681,780",,312.0,19.0,,
3.,3.,3.,Taxes and amounts payable to the State budget,313,20,"251,749,622,466","89,249,003,108",,313.0,20.0,,
4.,4.,4.,Payables to employees,314,,"132,502,016,484","128,095,191,775",,314.0,,,
5.,5.,5.,Short-term accrued expenses,315,21,"67,470,433,342","38,495,624,493",,315.0,21.0,,
6.,6.,6.,Short-term unearned revenue,318,,"5,280,995,062","19,159,092",,318.0,,,
7.,7.,7.,Other current payables,319,22,"441,699,603,149","938,495,943,804",,319.0,22.0,,
8.,8.,8.,Short-term loans and obligations under finance leases,320,23,"2,971,092,931,895","4,369,528,999,468",,320.0,23.0,,
9.,9.,9.,Short-term provisions,321,25,"80,464,369,666","74,508,081,339",,321.0,25.0,,
10.,10.,10.,Bonus and welfare funds,322,,"11,169,788,432","18,786,301,036",,322.0,,,
II.,II.,II.,Long-term liabilities,330,,"569,220,870,817","1,312,371,712,007",,330.0,,,
1.,1.,1.,Long-term advances from customers,332,19,"21,454,612,045",-,,332.0,19.0,,
2.,2.,2.,Long-term accrued expenses,333,,"1,271,185,764",-,,333.0,,,
3.,3.,3.,Other long-term payables,337,,"8,060,034,250","6,951,694,250",,337.0,,,
4.,4.,4.,Long-term loans and obligations under finance leases,338,24,"453,424,828,476","1,235,643,872,006",,338.0,24.0,,
5.,5.,5.,Deferred tax liabilities,341,26,"4,599,331,076","6,470,160,639",,341.0,26.0,,
6.,6.,6.,Long-term provisions,342,25,"80,410,879,206","63,305,985,112",,342.0,25.0,,
D.,D.,D.,EQUITY,400,,"6,953,437,285,925","5,951,879,834,915",,400.0,,,
I.,I.,I.,Owners' equity,410,27,"6,953,437,285,925","5,949,513,329,338",,410.0,27.0,,
1.,1.,1.,Owners' contributed capital,411,,"3,000,000,000,000","3,000,000,000,000",,411.0,,,
,,,- Ordinary shares carrying voting rights,411a,,"3,000,000,000,000","3,000,000,000,000",,,,,
2.,2.,2.,Share premium,412,,"835,287,500,000","835,287,500,000",,412.0,,,
3.,3.,3.,Investment and development fund,418,,"5,000,000,000","5,000,000,000",,418.0,,,
4.,4.,4.,Other owners's capital,420,,"512,023,604,323","536,209,913,991",,420.0,,,
5.,5.,5.,Retained earnings,421,,"2,045,153,834,099","1,055,499,019,330",,421.0,,,
,,,- Retained earnings accumulated to the prior year end,421a,,"772,275,694,298","615,088,884,503",,,,,
,,,- Retained earnings of the current period,421b,,"1,272,878,139,801","440,410,130,827",,,,,
6.,6.,6.,Non-controlling interests,429,,"555,972,347,503","517,516,900,017",,429.0,,,
II.,II.,II.,Other resources and funds,430,,-,"2,366,505,577",,430.0,,,
1.,1.,1.,Funds for fixed assets acquisition,432,,-,"2,366,505,577",,432.0,,,
,,,TOTAL RESOURCES (440=300+400),440,,"12,903,267,306,413","13,722,932,430,964",,440.0,,,
