row_label_raw,row_label_full,col_0,Owners' contributed capital,Share premium,Other owners' capital,Investment and development fund,Retained earnings,Non-controlling interests,Total,numeric__Owners' contributed capital,numeric__Share premium,numeric__Other owners' capital,numeric__Investment and development fund,numeric__Retained earnings,numeric__Non-controlling interests,numeric__Total
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Prior year's opening balance,Prior year's opening balance,Prior year's opening balance,"3,000,000,000,000","835,287,500,000","525,863,463,548","5,000,000,000","919,904,234,036","714,369,194,422","6,000,424,392,006",,,,,,,
Capital increase of subsidiaries,Capital increase of subsidiaries,Capital increase of subsidiaries,-,-,-,-,-,"15,120,000,000","15,120,000,000",,,,,,,
Profit for the year,Profit for the year,Profit for the year,-,-,-,-,"745,377,314,586","47,292,552,505","792,669,867,091",,,,,,,
Dividends declared,Dividends declared,Dividends declared,-,-,-,-,"(600,000,000,000)","(148,670,482,050)","(748,670,482,050)",,,,,,,
Appropriation to bonus and welfare fund,Appropriation to bonus and welfare fund,Appropriation to bonus and welfare fund,-,-,-,-,"(6,866,741,125)","(1,120,029,268)","(7,986,770,393)",,,,,,,
Increase in non-controlling interests,Increase in non-controlling interests,Increase in non-controlling interests,-,-,-,-,"5,573,746,147","(107,617,423,463)","(102,043,677,316)",,,,,,,
Divestment of capital in subsidiaries,Divestment of capital in subsidiaries,Divestment of capital in subsidiaries,-,-,"10,346,450,443",-,"(10,346,450,443)",-,-,,,,,,,
Classification,Classification,Classification,-,-,-,-,"1,856,912,129","(1,856,912,129)",-,,,,,,,
Prior year's closing balance,Prior year's closing balance,Prior year's closing balance,"3,000,000,000,000","835,287,500,000","536,209,913,991","5,000,000,000","1,055,499,015,330","517,516,900,017","5,949,513,329,338",,,,,,,
Capital increase of subsidiaries,Capital increase of subsidiaries,Capital increase of subsidiaries,-,-,-,-,-,"4,900,000,000","4,900,000,000",,,,,,,
Profit for the year,Profit for the year,Profit for the year,-,-,-,-,"1,588,234,634,885","126,341,211,502","1,714,575,846,387",,,,,,,
Dividends declared (i),Dividends declared (i),Dividends declared (i),-,-,-,-,"(600,000,000,000)","(81,525,798,800)","(681,525,798,800)",,,,,,,
Appropriation to bonus and welfare fund (ii),Appropriation to bonus and welfare fund (ii),Appropriation to bonus and welfare fund (ii),-,-,-,-,"(7,409,630,700)","(860,591,900)","(8,270,222,600)",,,,,,,
Increase in non-controlling interests,Increase in non-controlling interests,Increase in non-controlling interests,-,-,-,-,"(15,356,495,084)","(10,399,373,316)","(25,755,868,400)",,,,,,,
Divestment of capital in subsidiaries,Divestment of capital in subsidiaries,Divestment of capital in subsidiaries,-,-,"(24,186,309,668)",-,"24,186,309,668",-,-,,,,,,,
Current year's closing balance,Current year's closing balance,Current year's closing balance,"3,000,000,000,000","835,287,500,000","512,023,604,323","5,000,000,000","2,045,153,834,099","555,972,347,503","6,953,437,285,925",,,,,,,
