row_label_raw,row_label_full,col_0,Closing balance,Opening balance,numeric__Closing balance,numeric__Opening balance
,,,VND,VND,,
a. Short-term,a. Short-term,a. Short-term,a. Short-term,a. Short-term,,
Nam Ha Noi Group Joint Stock Company,Nam Ha Noi Group Joint Stock Company,Nam Ha Noi Group Joint Stock Company,"23,001,919,362","12,018,033,116",,
Quy Dan Electric Equipment Company Limited,Quy Dan Electric Equipment Company Limited,Quy Dan Electric Equipment Company Limited,"18,622,415,684","13,631,400,000",,
Mai Tien Phat Investment Joint Stock Company,Mai Tien Phat Investment Joint Stock Company,Mai Tien Phat Investment Joint Stock Company,"17,479,329,683","23,088,840,163",,
Others,Others,Others,"234,430,262,123","171,987,408,501",,
,,,"293,533,926,852","220,725,681,780",,
b. Long-term,b. Long-term,b. Long-term,b. Long-term,b. Long-term,,
Sembcorp Solar Vietnam Pte.Ltd.,Sembcorp Solar Vietnam Pte.Ltd.,Sembcorp Solar Vietnam Pte.Ltd.,"21,454,612,045",-,,
,,,"21,454,612,045",-,,
In which:,In which:,In which:,In which:,In which:,,
Short-term advances from customers as related parties (Details stated in Note 37),Short-term advances from customers as related parties (Details stated in Note 37),Short-term advances from customers as related parties (Details stated in Note 37),"5,332,872,451","8,628,671,199",,
