row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > VND Số có khả năng trả nợ,Số đầu năm > Giảm do thoái vốn tại công ty côn (91.423.256.000),Trong năm > Tăng,Trong năm > VND Giám,Số cuối năm > Giá trị,Số cuối năm > VND Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > VND Số có khả năng trả nợ,numeric__Số đầu năm > Giảm do thoái vốn tại công ty côn (91.423.256.000),numeric__Trong năm > Tăng,numeric__Trong năm > VND Giám,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > VND Số có khả năng trả nợ
Vay ngân hàng (i),Vay ngân hàng (i),Vay ngân hàng (i),863.518.872.006,863.518.872.006,(91.423.256.000),20.232.205.017,338.902.992.547,453.424.828.476,453.424.828.476,863518872006.0,863518872006.0,-91423256000.0,20232205017.0,338902992547.0,453424828476.0,453424828476.0
Vay các bên liên quan (Chi tiết tại Thuyết minh số 37),Vay các bên liên quan (Chi tiết tại Thuyết minh số 37),Vay các bên liên quan (Chi tiết tại Thuyết minh số 37),372.125.000.000,372.125.000.000,(372.125.000.000),-,-,-,-,372125000000.0,372125000000.0,-372125000000.0,,,,
,,,1.235.643.872.006,1.235.643.872.006,(463.548.256.000),20.232.205.017,338.902.992.547,453.424.828.476,453.424.828.476,1235643872006.0,1235643872006.0,-463548256000.0,20232205017.0,338902992547.0,453424828476.0,453424828476.0
(i) Chi tiết các khoản vay ngân hàng như sau:,(i) Chi tiết các khoản vay ngân hàng như sau:,(i) Chi tiết các khoản vay ngân hàng như sau:,(i) Chi tiết các khoản vay ngân hàng như sau:,(i) Chi tiết các khoản vay ngân hàng như sau:,(i) Chi tiết các khoản vay ngân hàng như sau:,(i) Chi tiết các khoản vay ngân hàng như sau:,(i) Chi tiết các khoản vay ngân hàng như sau:,(i) Chi tiết các khoản vay ngân hàng như sau:,(i) Chi tiết các khoản vay ngân hàng như sau:,,,,,,,
Ngân hàng,Ngân hàng,Ngân hàng,Số dư cuối năm,Số dư đầu năm,Ngày đáo hạn và kỳ trả lãi,Lãi suất%/năm,Lãi suất%/năm,Tài sản bảo đảm,Tài sản bảo đảm,,,,,,,
,,,VND,VND,,,,,,,,,,,,
Ngân hàng Phát triển Việt Nam - Chi nhánh Quảng Nam,Ngân hàng > Ngân hàng Phát triển Việt Nam - Chi nhánh Quảng Nam,Ngân hàng Phát triển Việt Nam - Chi nhánh Quảng Nam,416.704.823.000,523.084.823.000,"Lãi suất áp dụng theo thông báo của ngân hàng từng thời điểm giải ngân, Lãi vay được trả hàng tháng, gốc vay thanh toán theo lịch trả nợ với thời hạn thanh toán cuối cùng là ngày 24 tháng 11 năm 2028,","6,9% - 10%","6,9% - 10%",“ài sản thuộc công trình Thủy điện Sông Bung 4A để đảm bảo cho khoản vay này,“ài sản thuộc công trình Thủy điện Sông Bung 4A để đảm bảo cho khoản vay này,416704823000.0,523084823000.0,,,,,
Ngân hàng TNHH MTV SHINHAN Việt Nam - Chi nhánh Biên Hòa,Ngân hàng > Ngân hàng TNHH MTV SHINHAN Việt Nam - Chi nhánh Biên Hòa,Ngân hàng TNHH MTV SHINHAN Việt Nam - Chi nhánh Biên Hòa,76.938.926.341,123.102.282.133,"Kỳ hạn vay 60 tháng, Lãi vay trả hàng tháng, Khế ước cuối cùng đáo hạn ngày 20 tháng 08 năm 2026","6,8%","6,8%",Phải thu từ khu đất và nhà xưởng tại KCN Long Đức,Phải thu từ khu đất và nhà xưởng tại KCN Long Đức,76938926341.0,123102282133.0,,0.068,0.068,,
Ngân hàng TNHH MTV Standard Chartered Việt Nam – Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng > Ngân hàng TNHH MTV Standard Chartered Việt Nam – Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng TNHH MTV Standard Chartered Việt Nam – Chi nhánh Thành phố Hồ Chí Minh,62.864.683.503,85.724.568.423,Khoản vay sẽ được trả làm nhiều lần bắt đầu từ quý thứ 9 kể từ ngày rút vốn đầu tiên với mỗi lần tương đương 5% giá trị nợ gốc đến ngày 30 tháng 6 năm 2027. Lãi vay được trả hàng quý Khoản vay sẽ được trả làm,"5,7%/năm cộng với chi phí vốn của Ngân hàng từ năm thứ 1 đến năm thứ 3 và 4,7%/năm cộng với chi phí vốn của Ngân hàng từ năm thứ 4 đến năm thứ 7 Lãi suất biên",Quyền sử dụng đất và tài sản tại 70 – 72 Nam Kỳ Khởi Nghĩa; Thư bảo lãnh của Công ty Cổ phần Tập đoàn GELEX,Quyền sử dụng đất và tài sản tại 70 – 72 Nam Kỳ Khởi Nghĩa; Thư bảo lãnh của Công ty Cổ phần Tập đoàn GELEX,Quyền sử dụng đất và tài sản tại 70 – 72 Nam Kỳ Khởi Nghĩa; Thư bảo lãnh của Công ty Cổ phần Tập đoàn GELEX,62864683503.0,85724568423.0,,,,,
,,,26.231.515.881,38.692.820.799,,,"Nhà xưởng số 1, 2 và 3; Tất cả máy móc,","Nhà xưởng số 1, 2 và 3; Tất cả máy móc,","Nhà xưởng số 1, 2 và 3; Tất cả máy móc,",26231515881.0,38692820799.0,,,,,
