row_label_raw,row_label_full,col_0,Số phải thuđầu năm,Số phải nộpđầu năm,Giảm do :hoái vốntại công ty con,Số phải nộptrong năm,Số đã thực nộp/khẩu trừ trong năm,Số phải thucuối năm,Số phải nộpcuối năm,numeric__Số phải thuđầu năm,numeric__Số phải nộpđầu năm,numeric__Giảm do :hoái vốntại công ty con,numeric__Số phải nộptrong năm,numeric__Số đã thực nộp/khẩu trừ trong năm,numeric__Số phải thucuối năm,numeric__Số phải nộpcuối năm
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,11.519.359.807,20.253.660.600,(2.039.017.168),762.033.399.272,740.934.509.444,11.519.304.307,39.313.477.760,11519359807.0,20253660600.0,-2039017168.0,762033399272.0,740934509444.0,11519304307.0,39313477760.0
"Thuế xuất khẩu, nhập khẩu","Thuế xuất khẩu, nhập khẩu","Thuế xuất khẩu, nhập khẩu",-,-,-,1.876.836.232,1.876.836.232,-,-,,,,1876836232.0,1876836232.0,,
Thuế thu nhập doanhnghiệp,Thuế thu nhập doanhnghiệp,Thuế thu nhập doanhnghiệp,6.122.800.764,62.048.921.925,(1.703.575.677),458.018.875.090,307.132.772.687,276.361.769,205.385.009.656,6122800764.0,62048921925.0,-1703575677.0,458018875090.0,307132772687.0,276361769.0,205385009656.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,7.276.621,1.923.140.166,(140.528.250),30.507.344.846,29.099.116.637,10.492.825,3.194.056.329,7276621.0,1923140166.0,-140528250.0,30507344846.0,29099116637.0,10492825.0,3194056329.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,-,2.575.507.965,-,16.094.661.376,17.124.786.844,-,1.545.382.497,,2575507965.0,,16094661376.0,17124786844.0,,1545382497.0
"Thuế nhà đất, tiền thuệđất","Thuế nhà đất, tiền thuệđất","Thuế nhà đất, tiền thuệđất",-,-,-,10.929.921.092,10.929.921.092,-,-,,,,10929921092.0,10929921092.0,,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,1.000.000,-,-,2.043.341.272,2.043.341.272,1.000.000,-,1000000.0,,,2043341272.0,2043341272.0,1000000.0,
"Phí, lệ phí và các khoảnphải nộp khác","Phí, lệ phí và các khoảnphải nộp khác","Phí, lệ phí và các khoảnphải nộp khác",-,2.447.772.452,-,7.718.992.518,7.855.068.746,-,2.311.696.224,,2447772452.0,,7718992518.0,7855068746.0,,2311696224.0
,,,17.650.437.192,89.249.003.108,(3.883.121.095),1.289.223.371.698,1.116.996.352.954,11.807.158.901,251.749.622.466,17650437192.0,89249003108.0,-3883121095.0,1289223371698.0,1116996352954.0,11807158901.0,251749622466.0
