row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
,,,VND,VND,,
Lợi nhuận chưa thực hiện khác,Lợi nhuận chưa thực hiện khác,Lợi nhuận chưa thực hiện khác,22.893.538.128,9.316.835.145,22893538128.0,9316835145.0
Trích lập các khoản dự phòng,Trích lập các khoản dự phòng,Trích lập các khoản dự phòng,19.031.448.627,9.885.648.404,19031448627.0,9885648404.0
Chi phí lãi vay không được trừ,Chi phí lãi vay không được trừ,Chi phí lãi vay không được trừ,1.576.503.916,6.511.107.458,1576503916.0,6511107458.0
Các khoản khác,Các khoản khác,Các khoản khác,639.771.713,623.440.842,639771713.0,623440842.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,44.141.262.384,26.337.031.849,44141262384.0,26337031849.0
,,,Số cuối năm,Số đầu năm,,
,,,VND,VND,,
Chênh lệch đánh giá lại tài sản do hợp nhất kinh doanh,Chênh lệch đánh giá lại tài sản do hợp nhất kinh doanh,Chênh lệch đánh giá lại tài sản do hợp nhất kinh doanh,4.599.331.076,6.470.160.639,4599331076.0,6470160639.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,4.599.331.076,6.470.160.639,4599331076.0,6470160639.0
