row_label_raw,row_label_full,Ngân hàng > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Sở giao dịch I > Ngân hàng TMCP Kỹ thương Việt Nam - Hội sở chính,Số dư cuối nămVND > 13.008.786.836 > 11.418.133.315 > -,Số dư đầu nămVND > 11.473.062.620 > 6.638.414.507 > 1.096.125.470.514,"Ngày đáo hạn và kỳ trả lãi > Kỳ hạn 84 tháng bắt đầu từ ngày 30 tháng 12 năm 2022, thời gian ân hạn là 18 tháng, lãi suất thay đổi 3 tháng/lần > Kỳ hạn 84 tháng bắt đầu từ ngày tiếp theo của ngày giải ngân đầu tiên","Lãi suất%/năm > 8,2% - 8,5% > 8,8%","Tài sản bảo đảm > Tài sản hình thành từ vốn vay > Toàn bộ tài sản hình thành trong tương lai từ Đầu tư xây dựng dự án Hạ tầng lưới điện khai thác, cung cấp, sử dụng, quản lý hệ thống điện trung thể KCN Yên Mỹ, tỉnh Hưng Yên với tổng tài sản là 24.917.591.991 VND",numeric__Số dư cuối nămVND > 13.008.786.836 > 11.418.133.315 > -,numeric__Số dư đầu nămVND > 11.473.062.620 > 6.638.414.507 > 1.096.125.470.514,"numeric__Ngày đáo hạn và kỳ trả lãi > Kỳ hạn 84 tháng bắt đầu từ ngày 30 tháng 12 năm 2022, thời gian ân hạn là 18 tháng, lãi suất thay đổi 3 tháng/lần > Kỳ hạn 84 tháng bắt đầu từ ngày tiếp theo của ngày giải ngân đầu tiên","numeric__Lãi suất%/năm > 8,2% - 8,5% > 8,8%","numeric__Tài sản bảo đảm > Tài sản hình thành từ vốn vay > Toàn bộ tài sản hình thành trong tương lai từ Đầu tư xây dựng dự án Hạ tầng lưới điện khai thác, cung cấp, sử dụng, quản lý hệ thống điện trung thể KCN Yên Mỹ, tỉnh Hưng Yên với tổng tài sản là 24.917.591.991 VND"
Ngân hàng TMCP Tiên Phong - Chi nhánh Bến Thành,Ngân hàng TMCP Tiên Phong - Chi nhánh Bến Thành,Ngân hàng TMCP Tiên Phong - Chi nhánh Bến Thành,-,114.843.008.000,,,,,114843008000.0,,,
Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Đồng Nai,Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Đồng Nai,Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Đồng Nai,-,110.139.647.059,,,,,110139647059.0,,,
Ngân hàng TMCP Công thương Việt Nam – Chi nhánh Đông Anh,Ngân hàng TMCP Công thương Việt Nam – Chi nhánh Đông Anh,Ngân hàng TMCP Công thương Việt Nam – Chi nhánh Đông Anh,-,8.245.957.776,,,,,8245957776.0,,,
Ngân hàng Sinopac - Chi nhánh TP Hồ Chí Minh,Ngân hàng Sinopac - Chi nhánh TP Hồ Chí Minh,Ngân hàng Sinopac - Chi nhánh TP Hồ Chí Minh,-,8.074.692.380,,,,,8074692380.0,,,
,,,696.707.905.157,2.269.072.681.099,,,,696707905157.0,2269072681099.0,,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Vay dài hạn đến hạn trả,Trong đó: > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,243.283.076.681,1.405.553.809.093,,,,243283076681.0,1405553809093.0,,,
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,453.424.828.476,863.518.872.006,,,,453424828476.0,863518872006.0,,,
