row_label_raw,row_label_full,col_0,Closing balance,Closing balance_1,Opening balance,Opening balance_1,numeric__Closing balance,numeric__Closing balance_1,numeric__Opening balance,numeric__Opening balance_1
,,,VND,VND,VND,VND,,,,
,,,Amount,Amount able to be paid off,Amount,Amount able to be paid off,,,,
GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,"303,561,515,998","303,561,515,998","150,173,507,565","150,173,507,565",,,,
IXM S.A.,IXM S.A.,IXM S.A.,"112,950,210,196","112,950,210,196",-,-,,,,
Trafigura Pte. Ltd,Trafigura Pte. Ltd,Trafigura Pte. Ltd,"68,773,397,631","68,773,397,631",-,-,,,,
"Y and W Engineering and Trading Co., Ltd","Y and W Engineering and Trading Co., Ltd","Y and W Engineering and Trading Co., Ltd","26,064,641,973","26,064,641,973","85,953,590,450","85,953,590,450",,,,
Others,Others,Others,"614,295,696,525","614,295,696,525","344,649,800,132","344,649,800,132",,,,
,,,"1,125,645,462,323","1,125,645,462,323","580,776,898,147","580,776,898,147",,,,
In which: Short-term trade payables to related parties (Details stated in Note 37),In which: Short-term trade payables to related parties (Details stated in Note 37),In which: Short-term trade payables to related parties (Details stated in Note 37),"316,292,482,157","316,292,482,157","168,583,669,391","168,583,669,391",,,,
