row_label_raw,row_label_full,Bank,Closing balance,Maturity date and interest payment period,Interest rate,Collaterals,numeric__Closing balance,numeric__Maturity date and interest payment period,numeric__Interest rate,numeric__Collaterals
,,,VND,,%/year,,,,,
Joint Stock Commercial Bank for Foreign Trade of Vietnam - Ho Chi Minh branch,Joint Stock Commercial Bank for Foreign Trade of Vietnam - Ho Chi Minh branch,Joint Stock Commercial Bank for Foreign Trade of Vietnam - Ho Chi Minh branch,"514,143,773,114",Loan term is 89 days. Interest is paid monthly.The last loan agreement expires on 18 March 2025.,3% - 3.3%,Unsecured,,,,
Vietnam Joint Stock Commercial Bank of Industry and Trade - Bien Hoa Industrial Park Branch,Vietnam Joint Stock Commercial Bank of Industry and Trade - Bien Hoa Industrial Park Branch,Vietnam Joint Stock Commercial Bank of Industry and Trade - Bien Hoa Industrial Park Branch,"375,329,000,000",Loan term is from 3 to 4 months. Interest is paidmonthly. The last loan agreement expires on 25 April 2025.,3.5% - 3.8%,"Secured by inventories and receivablesformed from loan contacts, GuaranteeLetter from GELEX Group",,,,
Vietnam Joint Stock Commercial Bank of Industry and Trade - Bien Hoa Industrial Park Branch,Vietnam Joint Stock Commercial Bank of Industry and Trade - Bien Hoa Industrial Park Branch,Vietnam Joint Stock Commercial Bank of Industry and Trade - Bien Hoa Industrial Park Branch,"212,671,760,145",Loan term is up to 6 months. Interest is paidmonthly.,3.9% -4.1%,"Some fixed assets, investment properties, rotational inventories, receivables formed from loan contacts with minimum collateral value equal to the credit balance of Mortgagor at Mortgagee",,,,
Joint Stock Commercial Bank for Foreign Trade of Vietnam - Dong Nai Branch,Joint Stock Commercial Bank for Foreign Trade of Vietnam - Dong Nai Branch,Joint Stock Commercial Bank for Foreign Trade of Vietnam - Dong Nai Branch,"352,949,278,605",Loan term is 5 months. Interest is paid monthly.The last loan agreement expires on 28 April 2025,3.6% - 3.8%,"Secured by inventories and receivablesformed from loan contacts, GuaranteeLetter from GELEX Group",,,,
Joint Stock Commercial Bank for Foreign Trade of Vietnam - Dong Nai Branch,Joint Stock Commercial Bank for Foreign Trade of Vietnam - Dong Nai Branch,Joint Stock Commercial Bank for Foreign Trade of Vietnam - Dong Nai Branch,"72,586,148,273",The loan term specified in each contract.Interest is paid monthly.,3.2% - 3.7%,"Some fixed assets, rotational inventories and receivables formed from loan contracts with collateral value of VND 120.000.000.000.",,,,
Joint Stock Commercial Bank for Investment and Development of Vietnam - Dong Nai Branch,Joint Stock Commercial Bank for Investment and Development of Vietnam - Dong Nai Branch,Joint Stock Commercial Bank for Investment and Development of Vietnam - Dong Nai Branch,"147,733,281,133",Interest rate specified in each contract and is valid from the date of disbursement until the interest rate is adjusted,2.8% - 3.0%,Unsecured,,,,
Joint Stock Commercial Bank for Investment and Development of Vietnam - Transaction Center I,Joint Stock Commercial Bank for Investment and Development of Vietnam - Transaction Center I,Joint Stock Commercial Bank for Investment and Development of Vietnam - Transaction Center I,"181,448,181,684",Loan term is up to 5.5 months. Interest is paidmonthly on 25th. The last loan agreement expires on 06 June 2025.,4.1% - 4.5%,Secured by fixed assets including machinery and assets attached to land.Secured by inventories and receivablesformed from loan contracts funded by BIDV in which EMIC is the service supplier.,,,,
Joint Stock Commercial Bank for Investment and Development of Vietnam - Transaction Center I,Joint Stock Commercial Bank for Investment and Development of Vietnam - Transaction Center I > Joint Stock Commercial Bank for Investment and Development of Vietnam - Transaction Center I,Joint Stock Commercial Bank for Investment and Development of Vietnam - Transaction Center I,"10,029,686,579",Loan term is 164 days. Interest is paid monthly.The last loan agreement expires on 10 January 2025.,3.6%,Secured by a deposit equal to 30% of the outstanding balance,,,0.36,
