row_label_raw,row_label_full,col_0,Current year,Prior period,numeric__Current year,numeric__Prior period
,,,VND,VND,,
Sales of goods and services,Sales of goods and services,Sales of goods and services,"85,714,808,834","47,708,834,464",,
GVI Joint Stock Company,GVI Joint Stock Company,GVI Joint Stock Company,"41,366,771,334","16,800,028,661",,
Dong Anh Electrical Equipment Corporation - JSC,Dong Anh Electrical Equipment Corporation - JSC,Dong Anh Electrical Equipment Corporation - JSC,"14,813,951,000","13,121,977,000",,
GEIC Industrial Equipment Joint Stock Company,GEIC Industrial Equipment Joint Stock Company,GEIC Industrial Equipment Joint Stock Company,"11,739,289,800",-,,
Gelex Ninh Thuan Energy Company Limited,Gelex Ninh Thuan Energy Company Limited,Gelex Ninh Thuan Energy Company Limited,"6,421,028,889",-,,
GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,"3,971,914,049","7,963,201,403",,
"HEM Electromechanical Manufacturing Co., Ltd.","HEM Electromechanical Manufacturing Co., Ltd.","HEM Electromechanical Manufacturing Co., Ltd.","2,986,209,117",,,
Dien Gio Huong Phung Limited Company,Dien Gio Huong Phung Limited Company,Dien Gio Huong Phung Limited Company,"2,577,579,011","7,069,931,000",,
Quang Tri GELEX Energy Company Limited,Quang Tri GELEX Energy Company Limited,Quang Tri GELEX Energy Company Limited,"1,793,065,634","1,921,141,750",,
GELEX Infrastructure Joint Stock Company,GELEX Infrastructure Joint Stock Company,GELEX Infrastructure Joint Stock Company,"45,000,000","492,648,660",,
Computer - Communication - Control 3C Incorporation,Computer - Communication - Control 3C Incorporation,Computer - Communication - Control 3C Incorporation,-,"205,605,990",,
Viglacera Thang Long Joint Stock Company,Viglacera Thang Long Joint Stock Company,Viglacera Thang Long Joint Stock Company,-,"51,000,000",,
Viglacera Corporation - JSC,Viglacera Corporation - JSC,Viglacera Corporation - JSC,-,"34,000,000",,
Viglacera Binh Duong Porcelain Company - Branch of Viglacera Corporation - JSC,Viglacera Binh Duong Porcelain Company - Branch of Viglacera Corporation - JSC,Viglacera Binh Duong Porcelain Company - Branch of Viglacera Corporation - JSC,-,"34,000,000",,
Viglacera Tien Son Joint Stock Company,Viglacera Tien Son Joint Stock Company,Viglacera Tien Son Joint Stock Company,-,"15,300,000",,
Purchases of goods and services,Purchases of goods and services,Purchases of goods and services,"4,016,742,471,158","2,560,264,565,856",,
GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,"4,010,850,956,829","2,557,125,950,772",,
"HEM Electromechanical Manufacturing Co., Ltd.","HEM Electromechanical Manufacturing Co., Ltd.","HEM Electromechanical Manufacturing Co., Ltd.","3,972,069,552",-,,
Dong Anh Electrical Equipment Corporation - JSC,Dong Anh Electrical Equipment Corporation - JSC,Dong Anh Electrical Equipment Corporation - JSC,"1,716,285,000","1,769,761,000",,
Viglacera Ceramic Tiles Trading Joint Stock Company,Viglacera Ceramic Tiles Trading Joint Stock Company,Viglacera Ceramic Tiles Trading Joint Stock Company,"113,426,777",-,,
"S.A.S - CTAMAD Co., Ltd","S.A.S - CTAMAD Co., Ltd","S.A.S - CTAMAD Co., Ltd","89,733,000",-,,
Viglacera Corporation - JSC,Viglacera Corporation - JSC,Viglacera Corporation - JSC,-,"1,045,478,008",,
Viglacera Tien Son Joint Stock Company,Viglacera Tien Son Joint Stock Company,Viglacera Tien Son Joint Stock Company,-,"246,172,295",,
Computer - Communication - Control 3C Incorporation,Computer - Communication - Control 3C Incorporation,Computer - Communication - Control 3C Incorporation,-,"50,000,000",,
VIX Securities Joint Stock Company,VIX Securities Joint Stock Company,VIX Securities Joint Stock Company,-,"27,203,781",,
Dividends received,Dividends received,Dividends received,"117,716,266,000","158,014,456,000",,
"S.A.S - CTAMAD Co., Ltd.","S.A.S - CTAMAD Co., Ltd.","S.A.S - CTAMAD Co., Ltd.","87,780,000,000","61,425,000,000",,
Dong Anh Electrical Equipment Corporation - JSC,Dong Anh Electrical Equipment Corporation - JSC,Dong Anh Electrical Equipment Corporation - JSC,"29,936,266,000","29,936,266,000",,
GELEX Infrastructure Joint Stock Company,GELEX Infrastructure Joint Stock Company,GELEX Infrastructure Joint Stock Company,-,"66,653,190,000",,
Dividend paid,Dividend paid,Dividend paid,"525,741,200,000","527,991,200,000",,
GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,"479,991,200,000","479,991,200,000",,
Computer - Communication - Control 3C Incorporation,Computer - Communication - Control 3C Incorporation,Computer - Communication - Control 3C Incorporation,"30,750,000,000","33,000,000,000",,
GVI Joint Stock Company,GVI Joint Stock Company,GVI Joint Stock Company,"15,000,000,000","15,000,000,000",,
Lending,Lending,Lending,"810,000,000,000","1,100,000,000,000",,
GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,"810,000,000,000","1,100,000,000,000",,
Loan principal collected,Loan principal collected,Loan principal collected,"588,400,000,000","950,000,000,000",,
GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,"588,400,000,000","950,000,000,000",,
Loan interest income,Loan interest income,Loan interest income,"18,383,632,878","7,472,054,795",,
GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,"15,057,331,508","7,472,054,795",,
Gelex Ninh Thuan Energy Company Limited,Gelex Ninh Thuan Energy Company Limited,Gelex Ninh Thuan Energy Company Limited,"3,326,301,370",,,
Borrowing,Borrowing,Borrowing,"600,000,000,000","160,000,000,000",,
GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,"600,000,000,000","160,000,000,000",,
