row_label_raw,row_label_full,col_0,Current year,Prior period,numeric__Current year,numeric__Prior period
,,,VND,VND,,
Loan principal repayment,Loan principal repayment,Loan principal repayment,"432,125,000,000","833,750,000,000",,
GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,"432,125,000,000","833,750,000,000",,
Loan interest expense,Loan interest expense,Loan interest expense,"38,363,388,698","83,367,089,038",,
GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,"38,363,388,698","83,367,089,038",,
Interest on deferred-payment sales,Interest on deferred-payment sales,Interest on deferred-payment sales,"5,327,283,864","2,797,357,569",,
GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,"5,327,283,864","2,797,357,569",,
Receiving deposit for share transfer,Receiving deposit for share transfer,Receiving deposit for share transfer,-,"600,000,000,000",,
GELEX Infrastructure Joint Stock Company,GELEX Infrastructure Joint Stock Company,GELEX Infrastructure Joint Stock Company,-,"600,000,000,000",,
Offsetting deposits - receivables from share transfer,Offsetting deposits - receivables from share transfer,Offsetting deposits - receivables from share transfer,-,"600,000,000,000",,
GELEX Infrastructure Joint Stock Company,GELEX Infrastructure Joint Stock Company,GELEX Infrastructure Joint Stock Company,-,"600,000,000,000",,
Selling investments,Selling investments,Selling investments,-,"1,270,528,062,534",,
GELEX Infrastructure Joint Stock Company,GELEX Infrastructure Joint Stock Company,GELEX Infrastructure Joint Stock Company,-,"1,270,528,062,534",,
Receiving cash from investment transfer,Receiving cash from investment transfer,Receiving cash from investment transfer,-,"850,000,000,000",,
GELEX Infrastructure Joint Stock Company,GELEX Infrastructure Joint Stock Company,GELEX Infrastructure Joint Stock Company,-,"850,000,000,000",,
Purchase of fixed assets,Purchase of fixed assets,Purchase of fixed assets,"2,260,000,000",-,,
GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,"2,260,000,000",-,,
Collection of software costs on behalf,Collection of software costs on behalf,Collection of software costs on behalf,"1,026,953,889",-,,
GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,"1,026,953,889",-,,
Reduction of investment value,Reduction of investment value,Reduction of investment value,"(3,638,125,063)",-,,
GELEX Infrastructure Joint Stock Company,GELEX Infrastructure Joint Stock Company,GELEX Infrastructure Joint Stock Company,"(3,638,125,063)",-,,
