row_label_raw,row_label_full,Bank,Closing balance,Opening balance,Maturity date and interest payment period,Interest rate,Collaterals,numeric__Closing balance,numeric__Opening balance,numeric__Maturity date and interest payment period,numeric__Interest rate,numeric__Collaterals
,,,VND,VND,,%/year,,,,,,
Joint Stock Commercial Bank for Investment and Development of Vietnam- Transaction Center 1,Joint Stock Commercial Bank for Investment and Development of Vietnam- Transaction Center 1,Joint Stock Commercial Bank for Investment and Development of Vietnam- Transaction Center 1,"13,008,786,836","11,473,062,620",Loan term is 84 months from 30 December 2022. Grace period is 18 months. Interest is adjusted every 3 months,8.2% - 8.5%,Assets formed from the loan,,,,,
Joint Stock Commercial Bank for Investment and Development of Vietnam- Transaction Center 1,Joint Stock Commercial Bank for Investment and Development of Vietnam- Transaction Center 1 > Joint Stock Commercial Bank for Investment and Development of Vietnam- Transaction Center 1,Joint Stock Commercial Bank for Investment and Development of Vietnam- Transaction Center 1,"11,418,133,315","6,638,414,507",Loan term is 84 months from the following day the first disbursement date,8.8%,"All assets formed in the future of the project Investment in construction of power grid infrastructure to supply, exploit, use, manage and operate the medium voltage power system in Yen My Industrial Park, Hung Yen province, with total assets of VND 24,917,591,991.",,,,0.88,
Vietnam Technological and Commercial Joint Stock Bank - Head office,Vietnam Technological and Commercial Joint Stock Bank - Head office,Vietnam Technological and Commercial Joint Stock Bank - Head office,-,"1,096,125,470,514",,,,,,,,
Tien Phong Commercial Joint Stock Bank - Ben Thanh branch,Tien Phong Commercial Joint Stock Bank - Ben Thanh branch,Tien Phong Commercial Joint Stock Bank - Ben Thanh branch,-,"114,843,008,000",,,,,,,,
Joint Stock Commercial Bank for Foreign Trade of Vietnam - Dong Nai branch,Joint Stock Commercial Bank for Foreign Trade of Vietnam - Dong Nai branch,Joint Stock Commercial Bank for Foreign Trade of Vietnam - Dong Nai branch,-,"110,139,647,059",,,,,,,,
Vietnam Joint Stock Commercial Bank for Industry and Trade - Dong Anh branch,Vietnam Joint Stock Commercial Bank for Industry and Trade - Dong Anh branch,Vietnam Joint Stock Commercial Bank for Industry and Trade - Dong Anh branch,-,"8,245,957,776",,,,,,,,
Bank Sinopac - Ho Chi Minh Branch,Bank Sinopac - Ho Chi Minh Branch,Bank Sinopac - Ho Chi Minh Branch,-,"8,074,692,380",,,,,,,,
Bank Sinopac - Ho Chi Minh Branch,Bank Sinopac - Ho Chi Minh Branch,Bank Sinopac - Ho Chi Minh Branch,"696,707,905,157","2,269,072,681,099",,,,,,,,
In which:,In which:,In which:,In which:,In which:,In which:,In which:,In which:,,,,,
Amount due for settlement within 12 months,Amount due for settlement within 12 months,Amount due for settlement within 12 months,"243,283,076,681","1,405,553,809,093",,,,,,,,
Amount due for settlement after 12 months,Amount due for settlement after 12 months,Amount due for settlement after 12 months,"453,424,828,476","863,518,872,006",,,,,,,,
