row_label_raw,row_label_full,col_0,Closing balance,Closing balance_1,Closing balance_2,Opening balance,Opening balance_1,Opening balance_2,numeric__Closing balance,numeric__Closing balance_1,numeric__Closing balance_2,numeric__Opening balance,numeric__Opening balance_1,numeric__Opening balance_2
,,,VND,VND,VND,VND,VND,VND,,,,,,
,,,Cost,Fair value,Provision,Cost,Fair value,Provision,,,,,,
GELEX Infrastructure Joint Stock Company,GELEX Infrastructure Joint Stock Company,GELEX Infrastructure Joint Stock Company,"1,111,361,869,099",(ii),-,"1,111,361,869,099",(ii),-,,,,,,
Joint Stock Commercial Bank for Foreign Trade of Vietnam (i),Joint Stock Commercial Bank for Foreign Trade of Vietnam (i),Joint Stock Commercial Bank for Foreign Trade of Vietnam (i),"2,178,670,000","6,945,974,400",-,"2,178,670,000","5,178,547,000",-,,,,,,
High Technology Joint Stock Company,High Technology Joint Stock Company,High Technology Joint Stock Company,"1,057,011,301",(ii),-,"1,057,011,301",(ii),-,,,,,,
Quang Tri GELEX Energy Company Limited (iii),Quang Tri GELEX Energy Company Limited (iii),Quang Tri GELEX Energy Company Limited (iii),-,-,-,"127,035,000,000",(ii),"(14,632,503,555)",,,,,,
GEIC Industrial Equipment Joint Stock Company (formerly known as '1080 Technology Joint Stock Company) (iv),GEIC Industrial Equipment Joint Stock Company (formerly known as '1080 Technology Joint Stock Company) (iv),GEIC Industrial Equipment Joint Stock Company (formerly known as '1080 Technology Joint Stock Company) (iv),-,-,-,"5,250,000,000",(ii),-,,,,,,
,,,"1,114,597,550,400",,-,"1,246,882,550,400",,"(14,632,503,555)",,,,,,
