row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,"Phương tiện vận tải, thiết bị truyền dẫn VND",Thiết bị văn phòng VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,"numeric__Phương tiện vận tải, thiết bị truyền dẫn VND",numeric__Thiết bị văn phòng VND,numeric__Tổng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,2.234.317.268.955,4.114.391.375.595,201.852.163.005,27.592.579.680,6.578.153.387.235,2234317268955.0,4114391375595.0,201852163005.0,27592579680.0,6578153387235.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,11.798.188.976,48.326.346.786,9.575.253.965,2.350.464.132,72.050.253.859,11798188976.0,48326346786.0,9575253965.0,2350464132.0,72050253859.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,54.481.815.833,107.864.361.973,20.568.949.275,1.348.059.843,184.263.186.924,54481815833.0,107864361973.0,20568949275.0,1348059843.0,184263186924.0
Giảm do thoái vốn tại công ty con,NGUYÊN GIÁ > Giảm do thoái vốn tại công ty con,Giảm do thoái vốn tại công ty con,(86.170.390.467),(1.292.366.743.693),(13.647.364.719),(819.082.786),(1.393.003.581.665),-86170390467.0,-1292366743693.0,-13647364719.0,-819082786.0,-1393003581665.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,(46.233.838.481),-,46.233.838.481,-,-,-46233838481.0,,46233838481.0,,
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(33.777.377.012),(8.200.648.852),(603.529.616),(42.581.555.480),,-33777377012.0,-8200648852.0,-603529616.0,-42581555480.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,2.168.193.044.816,2.944.437.963.649,256.382.191.155,29.868.491.253,5.398.881.690.873,2168193044816.0,2944437963649.0,256382191155.0,29868491253.0,5398881690873.0
GIÁ TRI HAO MÔN LỦY KẾ,GIÁ TRI HAO MÔN LỦY KẾ,GIÁ TRI HAO MÔN LỦY KẾ,GIÁ TRI HAO MÔN LỦY KẾ,GIÁ TRI HAO MÔN LỦY KẾ,GIÁ TRI HAO MÔN LỦY KẾ,GIÁ TRI HAO MÔN LỦY KẾ,GIÁ TRI HAO MÔN LỦY KẾ,,,,,
Số dư đầu năm,GIÁ TRI HAO MÔN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,691.326.840.933,2.338.037.383.493,147.959.423.570,20.787.172.483,3.198.110.820.479,691326840933.0,2338037383493.0,147959423570.0,20787172483.0,3198110820479.0
Khấu hao trong năm,GIÁ TRI HAO MÔN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,95.805.778.149,228.368.329.368,19.045.994.851,2.078.961.887,345.299.064.255,95805778149.0,228368329368.0,19045994851.0,2078961887.0,345299064255.0
Phân loại lại,GIÁ TRI HAO MÔN LỦY KẾ > Phân loại lại,Phân loại lại,(3.419.884.829),-,3.419.884.829,-,-,-3419884829.0,,3419884829.0,,
Giảm do thoái vốn tại công ty con,GIÁ TRI HAO MÔN LỦY KẾ > Giảm do thoái vốn tại công ty con,Giảm do thoái vốn tại công ty con,(27.712.187.308),(446.504.365.438),(6.276.450.963),(480.423.354),(480.973.427.063),-27712187308.0,-446504365438.0,-6276450963.0,-480423354.0,-480973427063.0
"Thanh lý, nhượng bán","GIÁ TRI HAO MÔN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(31.312.305.324),(8.197.336.033),(603.529.616),(40.113.170.973),,-31312305324.0,-8197336033.0,-603529616.0,-40113170973.0
Số dư cuối năm,GIÁ TRI HAO MÔN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,756.000.546.945,2.088.589.042.099,155.951.516.254,21.782.181.400,3.022.323.286.698,756000546945.0,2088589042099.0,155951516254.0,21782181400.0,3022323286698.0
GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,,,,,
Tại ngày đầu năm,GIÁ TRI CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,1.542.990.428.022,1.776.353.992.102,53.892.739.435,6.805.407.197,3.380.042.566.756,1542990428022.0,1776353992102.0,53892739435.0,6805407197.0,3380042566756.0
Tại ngày cuối năm,GIÁ TRI CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,1.412.192.497.871,855.848.921.550,100.430.674.901,8.086.309.853,2.376.558.404.175,1412192497871.0,855848921550.0,100430674901.0,8086309853.0,2376558404175.0
