row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc",Quyền sử dụng đất,Tổng,"numeric__Nhà cửa, vật kiến trúc",numeric__Quyền sử dụng đất,numeric__Tổng
,,,VND,VND,VND,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,177.369.030.728,38.405.287.440,215.774.318.168,177369030728.0,38405287440.0,215774318168.0
Đầu tư xây dựng,NGUYÊN GIÁ > Đầu tư xây dựng,Đầu tư xây dựng,1.613.734.784,,1.613.734.784,1613734784.0,,1613734784.0
cơ bản hoàn thành,cơ bản hoàn thành,cơ bản hoàn thành,cơ bản hoàn thành,cơ bản hoàn thành,cơ bản hoàn thành,,,
Số dư cuối năm,cơ bản hoàn thành > Số dư cuối năm,Số dư cuối năm,178.982.765.512,38.405.287.440,217.388.052.952,178982765512.0,38405287440.0,217388052952.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,73.694.689.827,11.848.110.506,85.542.800.333,73694689827.0,11848110506.0,85542800333.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,8.158.071.523,775.469.570,8.933.541.093,8158071523.0,775469570.0,8933541093.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,81.852.761.350,12.623.580.076,94.476.341.426,81852761350.0,12623580076.0,94476341426.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,103.674.340.901,26.557.176.934,130.231.517.835,103674340901.0,26557176934.0,130231517835.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,97.130.004.162,25.781.707.364,122.911.711.526,97130004162.0,25781707364.0,122911711526.0
