row_label_raw,row_label_full,col_0,Closing balance,Opening balance,numeric__Closing balance,numeric__Opening balance
,,,VND,VND,,
Short-term loan receivables,Short-term loan receivables,Short-term loan receivables,"371,600,000,000","150,000,000,000",,
GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,"371,600,000,000","150,000,000,000",,
Long-term loan receivables,Long-term loan receivables,Long-term loan receivables,"60,000,000,000",-,,
GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,"60,000,000,000",-,,
Other short-term receivables,Other short-term receivables,Other short-term receivables,"46,023,975,344","349,315,068",,
"S.A.S - CTAMAD Co., Ltd","S.A.S - CTAMAD Co., Ltd","S.A.S - CTAMAD Co., Ltd","35,553,000,000",-,,
GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,"10,470,975,344","349,315,068",,
Other long-term receivables,Other long-term receivables,Other long-term receivables,"3,826,027,398",-,,
Gelex Ninh Thuan Energy Company Limited,Gelex Ninh Thuan Energy Company Limited,Gelex Ninh Thuan Energy Company Limited,"3,826,027,398",-,,
Short-term trade payables,Short-term trade payables,Short-term trade payables,"316,292,482,157","168,583,669,391",,
GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,"303,561,515,998","150,173,507,565",,
Dong Anh Electrical Equipment Corporation - JSC,Dong Anh Electrical Equipment Corporation - JSC,Dong Anh Electrical Equipment Corporation - JSC,"6,922,352,000","18,410,161,826",,
"HEM Electromechanical Manufacturing Co., Ltd.","HEM Electromechanical Manufacturing Co., Ltd.","HEM Electromechanical Manufacturing Co., Ltd.","5,711,702,519",-,,
"S.A.S - CTAMAD Co., Ltd","S.A.S - CTAMAD Co., Ltd","S.A.S - CTAMAD Co., Ltd","96,911,640",-,,
Short-term advances from customers,Short-term advances from customers,Short-term advances from customers,"5,332,872,451","8,628,671,199",,
GVI Joint Stock Company,GVI Joint Stock Company,GVI Joint Stock Company,"5,332,872,451","8,628,671,199",,
Other current payables,Other current payables,Other current payables,"287,512,104,402","2,600,000,003",,
GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,"265,012,104,402","2,600,000,003",,
Computer - Communication - Control 3C Incorporation,Computer - Communication - Control 3C Incorporation,Computer - Communication - Control 3C Incorporation,"15,000,000,000",-,,
GVI Joint Stock Company,GVI Joint Stock Company,GVI Joint Stock Company,"7,500,000,000",-,,
Short-term loans,Short-term loans,Short-term loans,"190,000,000,000",-,,
GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,"190,000,000,000",-,,
Current portion of long - term loan,Current portion of long - term loan,Current portion of long - term loan,-,"88,500,000,000",,
GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,-,"88,500,000,000",,
Long-term loans,Long-term loans,Long-term loans,-,"372,125,000,000",,
GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,-,"372,125,000,000",,
