row_label_raw,row_label_full,col_0,ITEMS,Codes,Current year,Prior year,numeric__ITEMS,numeric__Codes,numeric__Current year,numeric__Prior year
I.,I.,I.,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,,,,
1.,I. > 1.,1.,Profit before tax,01,"2,152,919,661,378","967,090,193,946",,1.0,,
2.,2.,2.,Adjustments for:,Adjustments for:,Adjustments for:,Adjustments for:,,,,
,,,"Depreciation and amortisation of fixed assets, investment properties and goodwill allocation",02,"399,031,377,531","582,175,378,022",,2.0,,
,,,Provisions,03,"38,353,931,171","12,003,115,904",,3.0,,
,,,Foreign exchange loss arising from translating foreign currency items,04,"129,911,083","7,060,148,810",,4.0,,
,,,Gain from investing activities,05,"(468,671,205,266)","(488,764,200,381)",,5.0,,
,,,Interest expense and bond issuance expense,06,"269,291,875,033","575,944,738,472",,6.0,,
3.,2. > 3.,3.,Operating profit before movements in working capital,08,"2,391,055,550,930","1,655,509,374,773",,8.0,,
,,,(Increase)/decrease in receivables,09,"(563,591,034,002)","942,935,197,836",,9.0,,
,,,(Increase)/decrease in inventories,10,"(686,185,996,853)","1,275,234,122,331",,10.0,,
,,,Decreases in payables (excluding accrued loan interest and corporate income tax payable),11,"(68,377,090,935)","(760,658,694,568)",,11.0,,
,,,(Increase)/decrease in prepaid expenses,12,"(12,321,153,351)","44,503,632,003",,12.0,,
,,,Decreases/(increases) in trading securities,13,"49,991,114,316","(48,380,208,015)",,13.0,,
,,,Interest paid,14,"(255,976,185,401)","(602,187,382,861)",,14.0,,
,,,Corporate income tax paid,15,"(307,132,772,687)","(177,723,063,194)",,15.0,,
,,,Other cash inflows,16,"1,968,938,634",,,16.0,,
,,,Other cash outflows,17,"(14,850,826,039)","(11,521,960,911)",,17.0,,
,,,Net cash generated by operating activities,20,"534,580,544,612","2,317,711,017,394",,20.0,,
II.,II.,II.,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,,,,
1.,II. > 1.,1.,Acquisition and construction of fixed assets and other long-term assets,21,"(148,961,739,964)","(239,806,739,152)",,21.0,,
2.,II. > 2.,2.,"Proceeds from sale, disposal of fixed assets and other long-term assets",22,"1,143,500,000","3,282,655,346",,22.0,,
3.,II. > 3.,3.,"Cash outflow for lending, buying debt instruments of other entities",23,"(544,106,864,110)","(315,545,778,356)",,23.0,,
4.,II. > 4.,4.,"Cash recovered from lending, selling debt instruments of other entities",24,"355,149,793,151","301,266,030,137",,24.0,,
5.,II. > 5.,5.,Equity investments in other entities,25,"(25,755,868,400)","(773,279,417,529)",,25.0,,
6.,II. > 6.,6.,Cash recovered from investments in other entities,26,"1,238,413,527,837","840,122,550,412",,26.0,,
7.,II. > 7.,7.,"Interest earned, dividends and profits received",27,"135,868,758,944","188,261,255,561",,27.0,,
,,,Net cash generated by investing activities,30,"1,011,751,107,458","4,300,556,419",,30.0,,
