row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị hợp lý,Số cuối năm > VND,Số cuối năm > Giá gốc_1,Số đầu năm > Giá trị hợp lý,Số đầu năm > VND,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số cuối năm > VND,numeric__Số cuối năm > Giá gốc_1,numeric__Số đầu năm > Giá trị hợp lý,numeric__Số đầu năm > VND
Công ty Cổ phần Hạ tầng GELEX,Công ty Cổ phần Hạ tầng GELEX,Công ty Cổ phần Hạ tầng GELEX,1.111.361.869.099,(ii),-,1.111.361.869.099,(ii),-,1111361869099.0,,,1111361869099.0,,
Ngân hàng TMCP Ngoại Thương Việt Nam (i),Ngân hàng TMCP Ngoại Thương Việt Nam (i),Ngân hàng TMCP Ngoại Thương Việt Nam (i),2.178.670.000,6.945.974.400,-,2.178.670.000,5.178.547.000,-,2178670000.0,6945974400.0,,2178670000.0,5178547000.0,
Công ty Cổ phần Công nghệ cao,Công ty Cổ phần Công nghệ cao,Công ty Cổ phần Công nghệ cao,1.057.011.301,(ii),-,1.057.011.301,(ii),-,1057011301.0,,,1057011301.0,,
Công ty TNHH Năng lượng GELEX Quảng Trị (iii),Công ty TNHH Năng lượng GELEX Quảng Trị (iii),Công ty TNHH Năng lượng GELEX Quảng Trị (iii),-,-,-,127.035.000.000,(ii),(14.632.503.555),,,,127035000000.0,,-14632503555.0
"Công ty Cổ phần Thiết bị Công nghiệp GEIC (trước đây là ""Công ty Cổ phần Công nghệ 1080"") (iv)","Công ty Cổ phần Thiết bị Công nghiệp GEIC (trước đây là ""Công ty Cổ phần Công nghệ 1080"") (iv)","Công ty Cổ phần Thiết bị Công nghiệp GEIC (trước đây là ""Công ty Cổ phần Công nghệ 1080"") (iv)",-,-,-,5.250.000.000,(ii),-,,,,5250000000.0,,
,,,1.114.597.550.400,,-,1.246.882.550.400,,(14.632.503.555),1114597550400.0,,,1246882550400.0,,-14632503555.0
(i) Giá trị hợp lý của khoản đầu tư được xác định căn cứ vào giá đóng cửa của cổ phiếu trên sản chứng khoán HOSE tại ngày 31 tháng 12 năm 2024 và ngày 29 tháng 12 năm 2023 (phiên giao dịch cuối cùng liền kề trước ngày kết thúc năm tài chính).,(i) Giá trị hợp lý của khoản đầu tư được xác định căn cứ vào giá đóng cửa của cổ phiếu trên sản chứng khoán HOSE tại ngày 31 tháng 12 năm 2024 và ngày 29 tháng 12 năm 2023 (phiên giao dịch cuối cùng liền kề trước ngày kết thúc năm tài chính).,(i) Giá trị hợp lý của khoản đầu tư được xác định căn cứ vào giá đóng cửa của cổ phiếu trên sản chứng khoán HOSE tại ngày 31 tháng 12 năm 2024 và ngày 29 tháng 12 năm 2023 (phiên giao dịch cuối cùng liền kề trước ngày kết thúc năm tài chính).,(i) Giá trị hợp lý của khoản đầu tư được xác định căn cứ vào giá đóng cửa của cổ phiếu trên sản chứng khoán HOSE tại ngày 31 tháng 12 năm 2024 và ngày 29 tháng 12 năm 2023 (phiên giao dịch cuối cùng liền kề trước ngày kết thúc năm tài chính).,(i) Giá trị hợp lý của khoản đầu tư được xác định căn cứ vào giá đóng cửa của cổ phiếu trên sản chứng khoán HOSE tại ngày 31 tháng 12 năm 2024 và ngày 29 tháng 12 năm 2023 (phiên giao dịch cuối cùng liền kề trước ngày kết thúc năm tài chính).,(i) Giá trị hợp lý của khoản đầu tư được xác định căn cứ vào giá đóng cửa của cổ phiếu trên sản chứng khoán HOSE tại ngày 31 tháng 12 năm 2024 và ngày 29 tháng 12 năm 2023 (phiên giao dịch cuối cùng liền kề trước ngày kết thúc năm tài chính).,(i) Giá trị hợp lý của khoản đầu tư được xác định căn cứ vào giá đóng cửa của cổ phiếu trên sản chứng khoán HOSE tại ngày 31 tháng 12 năm 2024 và ngày 29 tháng 12 năm 2023 (phiên giao dịch cuối cùng liền kề trước ngày kết thúc năm tài chính).,(i) Giá trị hợp lý của khoản đầu tư được xác định căn cứ vào giá đóng cửa của cổ phiếu trên sản chứng khoán HOSE tại ngày 31 tháng 12 năm 2024 và ngày 29 tháng 12 năm 2023 (phiên giao dịch cuối cùng liền kề trước ngày kết thúc năm tài chính).,(i) Giá trị hợp lý của khoản đầu tư được xác định căn cứ vào giá đóng cửa của cổ phiếu trên sản chứng khoán HOSE tại ngày 31 tháng 12 năm 2024 và ngày 29 tháng 12 năm 2023 (phiên giao dịch cuối cùng liền kề trước ngày kết thúc năm tài chính).,,,,,,
(ii) Công ty chưa xác định được giá trị hợp lý của các khoản đầu tư tài chính này tại ngày kết thúc năm tài chính do các quy định hiện hành chưa có hướng dẫn cụ thể về việc xác định giá trị hợp lý của các khoản đầu tư tài chính vào các công ty chưa niêm yết này.,(ii) Công ty chưa xác định được giá trị hợp lý của các khoản đầu tư tài chính này tại ngày kết thúc năm tài chính do các quy định hiện hành chưa có hướng dẫn cụ thể về việc xác định giá trị hợp lý của các khoản đầu tư tài chính vào các công ty chưa niêm yết này.,(ii) Công ty chưa xác định được giá trị hợp lý của các khoản đầu tư tài chính này tại ngày kết thúc năm tài chính do các quy định hiện hành chưa có hướng dẫn cụ thể về việc xác định giá trị hợp lý của các khoản đầu tư tài chính vào các công ty chưa niêm yết này.,(ii) Công ty chưa xác định được giá trị hợp lý của các khoản đầu tư tài chính này tại ngày kết thúc năm tài chính do các quy định hiện hành chưa có hướng dẫn cụ thể về việc xác định giá trị hợp lý của các khoản đầu tư tài chính vào các công ty chưa niêm yết này.,(ii) Công ty chưa xác định được giá trị hợp lý của các khoản đầu tư tài chính này tại ngày kết thúc năm tài chính do các quy định hiện hành chưa có hướng dẫn cụ thể về việc xác định giá trị hợp lý của các khoản đầu tư tài chính vào các công ty chưa niêm yết này.,(ii) Công ty chưa xác định được giá trị hợp lý của các khoản đầu tư tài chính này tại ngày kết thúc năm tài chính do các quy định hiện hành chưa có hướng dẫn cụ thể về việc xác định giá trị hợp lý của các khoản đầu tư tài chính vào các công ty chưa niêm yết này.,(ii) Công ty chưa xác định được giá trị hợp lý của các khoản đầu tư tài chính này tại ngày kết thúc năm tài chính do các quy định hiện hành chưa có hướng dẫn cụ thể về việc xác định giá trị hợp lý của các khoản đầu tư tài chính vào các công ty chưa niêm yết này.,(ii) Công ty chưa xác định được giá trị hợp lý của các khoản đầu tư tài chính này tại ngày kết thúc năm tài chính do các quy định hiện hành chưa có hướng dẫn cụ thể về việc xác định giá trị hợp lý của các khoản đầu tư tài chính vào các công ty chưa niêm yết này.,(ii) Công ty chưa xác định được giá trị hợp lý của các khoản đầu tư tài chính này tại ngày kết thúc năm tài chính do các quy định hiện hành chưa có hướng dẫn cụ thể về việc xác định giá trị hợp lý của các khoản đầu tư tài chính vào các công ty chưa niêm yết này.,,,,,,
(iii) Công ty đã hoàn tất việc chuyển nhượng toàn bộ 10% phần vốn góp tại Công ty TNHH Năng lượng GELEX Quảng Trị vào ngày 08 tháng 5 năm 2024 (Chi tiết tại Thuyết minh số 01).,(iii) Công ty đã hoàn tất việc chuyển nhượng toàn bộ 10% phần vốn góp tại Công ty TNHH Năng lượng GELEX Quảng Trị vào ngày 08 tháng 5 năm 2024 (Chi tiết tại Thuyết minh số 01).,(iii) Công ty đã hoàn tất việc chuyển nhượng toàn bộ 10% phần vốn góp tại Công ty TNHH Năng lượng GELEX Quảng Trị vào ngày 08 tháng 5 năm 2024 (Chi tiết tại Thuyết minh số 01).,(iii) Công ty đã hoàn tất việc chuyển nhượng toàn bộ 10% phần vốn góp tại Công ty TNHH Năng lượng GELEX Quảng Trị vào ngày 08 tháng 5 năm 2024 (Chi tiết tại Thuyết minh số 01).,(iii) Công ty đã hoàn tất việc chuyển nhượng toàn bộ 10% phần vốn góp tại Công ty TNHH Năng lượng GELEX Quảng Trị vào ngày 08 tháng 5 năm 2024 (Chi tiết tại Thuyết minh số 01).,(iii) Công ty đã hoàn tất việc chuyển nhượng toàn bộ 10% phần vốn góp tại Công ty TNHH Năng lượng GELEX Quảng Trị vào ngày 08 tháng 5 năm 2024 (Chi tiết tại Thuyết minh số 01).,(iii) Công ty đã hoàn tất việc chuyển nhượng toàn bộ 10% phần vốn góp tại Công ty TNHH Năng lượng GELEX Quảng Trị vào ngày 08 tháng 5 năm 2024 (Chi tiết tại Thuyết minh số 01).,(iii) Công ty đã hoàn tất việc chuyển nhượng toàn bộ 10% phần vốn góp tại Công ty TNHH Năng lượng GELEX Quảng Trị vào ngày 08 tháng 5 năm 2024 (Chi tiết tại Thuyết minh số 01).,(iii) Công ty đã hoàn tất việc chuyển nhượng toàn bộ 10% phần vốn góp tại Công ty TNHH Năng lượng GELEX Quảng Trị vào ngày 08 tháng 5 năm 2024 (Chi tiết tại Thuyết minh số 01).,,,,,,
(iv) Công ty EMIC – Công ty con của Công ty đã hoàn tất việc chuyển nhượng toàn bộ 15% phần vốn góp tại Công ty Cổ phần Thiết bị Công nghiệp GEIC vào ngày 15 tháng 10 năm 2024.,(iv) Công ty EMIC – Công ty con của Công ty đã hoàn tất việc chuyển nhượng toàn bộ 15% phần vốn góp tại Công ty Cổ phần Thiết bị Công nghiệp GEIC vào ngày 15 tháng 10 năm 2024.,(iv) Công ty EMIC – Công ty con của Công ty đã hoàn tất việc chuyển nhượng toàn bộ 15% phần vốn góp tại Công ty Cổ phần Thiết bị Công nghiệp GEIC vào ngày 15 tháng 10 năm 2024.,(iv) Công ty EMIC – Công ty con của Công ty đã hoàn tất việc chuyển nhượng toàn bộ 15% phần vốn góp tại Công ty Cổ phần Thiết bị Công nghiệp GEIC vào ngày 15 tháng 10 năm 2024.,(iv) Công ty EMIC – Công ty con của Công ty đã hoàn tất việc chuyển nhượng toàn bộ 15% phần vốn góp tại Công ty Cổ phần Thiết bị Công nghiệp GEIC vào ngày 15 tháng 10 năm 2024.,(iv) Công ty EMIC – Công ty con của Công ty đã hoàn tất việc chuyển nhượng toàn bộ 15% phần vốn góp tại Công ty Cổ phần Thiết bị Công nghiệp GEIC vào ngày 15 tháng 10 năm 2024.,(iv) Công ty EMIC – Công ty con của Công ty đã hoàn tất việc chuyển nhượng toàn bộ 15% phần vốn góp tại Công ty Cổ phần Thiết bị Công nghiệp GEIC vào ngày 15 tháng 10 năm 2024.,(iv) Công ty EMIC – Công ty con của Công ty đã hoàn tất việc chuyển nhượng toàn bộ 15% phần vốn góp tại Công ty Cổ phần Thiết bị Công nghiệp GEIC vào ngày 15 tháng 10 năm 2024.,(iv) Công ty EMIC – Công ty con của Công ty đã hoàn tất việc chuyển nhượng toàn bộ 15% phần vốn góp tại Công ty Cổ phần Thiết bị Công nghiệp GEIC vào ngày 15 tháng 10 năm 2024.,,,,,,
