row_label_raw,row_label_full,col_0,Years,numeric__Years
Buildings and structures,Buildings and structures,Buildings and structures,05 - 50,
Machinery and equipment,Machinery and equipment,Machinery and equipment,03 - 26,
"Motor vehicles, transmission equipment","Motor vehicles, transmission equipment","Motor vehicles, transmission equipment",03 - 15,
Office equipment,Office equipment,Office equipment,03 - 10,
