row_label_raw,row_label_full,No. Subsidiaries,No. Subsidiaries_1,Place of incorporation and operation,Proportion of ownership interest,Proportion of voting power held,Main business,numeric__No. Subsidiaries_1,numeric__Place of incorporation and operation,numeric__Proportion of ownership interest,numeric__Proportion of voting power held,numeric__Main business
6.,6.,6.,"GELEX Power Generation Co., Hanoi Ltd. (""Power generation Gelex"")",Hanoi,100%,100%,"Investment, management of electricity production, transmission and distribution",,,1.0,1.0,
7.,7.,7.,MEE Power Transformer Manufacturing Joint Stock Company,Hanoi,66.79%,66.79%,Manufacturing and trading transformers,,,66.79,66.79,
8.,8.,8.,"GELEX Electricity Trading Joint Stock Company (""GETC"")",Hanoi,70.82%,70.82%,Electricity transmission and distribution,,,70.82,70.82,
