row_label_raw,row_label_full,col_0,col_1,Current year,Prior year,numeric__col_1,numeric__Current year,numeric__Prior year
,,,,VND,VND,,,
Remuneration,Remuneration,Remuneration,Position,,,,,
Mr. Dao Viet Dinh,Mr. Dao Viet Dinh,Mr. Dao Viet Dinh,Head of the Board of Supervisors from 19 April 2023,"120,000,000","80,000,000",,,
Mr. Nguyen Hoang Viet,Mr. Nguyen Hoang Viet,Mr. Nguyen Hoang Viet,Member,"60,000,000","60,000,000",,,
Ms. Bui Thi Trang,Ms. Bui Thi Trang,Ms. Bui Thi Trang,Member from 19 April 2023,"60,000,000","40,000,000",,,
Mr. Nguyen Thi Huyen,Mr. Nguyen Thi Huyen,Mr. Nguyen Thi Huyen,Head of the Board of Supervisor until 19 April 2023,-,"40,000,000",,,
Mr. Tieu Thi Dung,Mr. Tieu Thi Dung,Mr. Tieu Thi Dung,Member until 19 April 2023,-,"20,000,000",,,
,,,,"240,000,000","240,000,000",,,
