row_label_raw,row_label_full,col_0,Current year,Prior year (Restated),numeric__Current year,numeric__Prior year (Restated)
Accounting profit after corporate income tax (VND),Accounting profit after corporate income tax (VND),Accounting profit after corporate income tax (VND),"1,588,234,634,885","745,377,314,586",,
Appropriation to bonus and welfare fund (VND) (i),Appropriation to bonus and welfare fund (VND) (i),Appropriation to bonus and welfare fund (VND) (i),,"(7,409,630,700)",,
Profit or loss attributable to ordinary shareholders (VND),Profit or loss attributable to ordinary shareholders (VND),Profit or loss attributable to ordinary shareholders (VND),"1,588,234,634,885","737,967,683,886",,
Average ordinary shares in circulation for the year (shares),Average ordinary shares in circulation for the year (shares),Average ordinary shares in circulation for the year (shares),"300,000,000","300,000,000",,
Basic earnings per share (VND/share),Average ordinary shares in circulation for the year (shares) > Basic earnings per share (VND/share),Basic earnings per share (VND/share),"5,294","2,460",5.294,2.46
