row_label_raw,row_label_full,col_0,Closing balance,Opening balance,numeric__Closing balance,numeric__Opening balance
,,,VND,VND,,
a. Current,a. Current,a. Current,a. Current,a. Current,,
Repair of fixed assets,Repair of fixed assets,Repair of fixed assets,"7,454,971,039","3,651,482,779",,
Tools and supplies issued for consumption,Tools and supplies issued for consumption,Tools and supplies issued for consumption,"2,709,218,480","841,550,804",,
Cost of advertising and conference,Cost of advertising and conference,Cost of advertising and conference,"2,193,434,777","2,646,153,907",,
"Rentals for land, office, shop","Rentals for land, office, shop","Rentals for land, office, shop","1,588,557,863","300,618,297",,
Others,Others,Others,"10,869,010,671","9,365,498,542",,
,,,"24,815,192,830","16,805,304,329",,
b. Long-term,b. Long-term,b. Long-term,b. Long-term,b. Long-term,,
Rentals for facilities and infrastructure (*),Rentals for facilities and infrastructure (*),Rentals for facilities and infrastructure (*),"257,845,381,009","242,870,561,739",,
Land rentals (*),Land rentals (*),Land rentals (*),"111,869,551,672","121,947,553,368",,
Overhaul of fixed assets,Overhaul of fixed assets,Overhaul of fixed assets,"15,751,891,187","26,458,511,751",,
Office furniture cost,Office furniture cost,Office furniture cost,"9,497,341,584","10,950,453,557",,
Tools and supplies issued for consumption,Tools and supplies issued for consumption,Tools and supplies issued for consumption,"8,417,374,587","12,285,866,374",,
Cost of relocation of machinery and equipment,Cost of relocation of machinery and equipment,Cost of relocation of machinery and equipment,"3,283,136,071","10,045,735,252",,
Cost of compensation for site clearance,Cost of compensation for site clearance,Cost of compensation for site clearance,,"55,306,525,626",,
Others,Others,Others,"15,818,610,408","13,657,666,874",,
,,,"422,483,286,518","493,522,874,541",,
