row_label_raw,row_label_full,col_0,Closing balance,Opening balance,numeric__Closing balance,numeric__Opening balance
,,,VND,VND,,
a. Short-term loan receivables,a. Short-term loan receivables,a. Short-term loan receivables,a. Short-term loan receivables,a. Short-term loan receivables,,
GELEX Group Joint Stock Company (i),GELEX Group Joint Stock Company (i),GELEX Group Joint Stock Company (i),"371,600,000,000","150,000,000,000",,
GELEX Group Joint Stock Company (i),GELEX Group Joint Stock Company (i),GELEX Group Joint Stock Company (i),"371,600,000,000","150,000,000,000",,
In which:,In which:,In which:,In which:,In which:,,
Short-term loan receivables from related parties(Details stated in Note 37),Short-term loan receivables from related parties(Details stated in Note 37),Short-term loan receivables from related parties(Details stated in Note 37),"371,600,000,000","150,000,000,000",,
b. Long-term loan receivables,b. Long-term loan receivables,b. Long-term loan receivables,b. Long-term loan receivables,b. Long-term loan receivables,,
GELEX Ninh Thuan Energy Company Limited (ii),GELEX Ninh Thuan Energy Company Limited (ii),GELEX Ninh Thuan Energy Company Limited (ii),"60,000,000,000",-,,
GELEX Ninh Thuan Energy Company Limited (ii),GELEX Ninh Thuan Energy Company Limited (ii),GELEX Ninh Thuan Energy Company Limited (ii),"60,000,000,000",-,,
In which:,In which:,In which:,In which:,In which:,,
Long-term loan receivables from related parties (Details stated in Note 37),Long-term loan receivables from related parties (Details stated in Note 37),Long-term loan receivables from related parties (Details stated in Note 37),"60,000,000,000",-,,
