row_label_raw,row_label_full,col_0,Current year,Prior year,numeric__Current year,numeric__Prior year
,,,VND,VND,,
Sales of finished goods,Sales of finished goods,Sales of finished goods,"20,530,051,885,211","15,118,349,124,412",,
Sale of electricity,Sale of electricity,Sale of electricity,"325,153,463,374","712,454,432,655",,
Sales of merchandise,Sales of merchandise,Sales of merchandise,"302,295,452,582","721,006,015,968",,
Sales of services,Sales of services,Sales of services,"147,275,463,238","166,813,372,549",,
Others,Others,Others,"46,489,722,955","38,914,186,603",,
,,,"21,351,265,987,360","16,757,537,132,187",,
Deductions,Deductions,Deductions,Deductions,Deductions,,
Sales discount,Sales discount,Sales discount,"209,229,229,819","145,148,967,724",,
Sales return,Sales return,Sales return,"12,414,938,214","5,119,637,950",,
,,,"221,644,168,033","150,268,605,674",,
Net revenue from goods sold and services rendered,Net revenue from goods sold and services rendered,Net revenue from goods sold and services rendered,"21,129,621,819,327","16,607,268,526,513",,
In which:,In which:,In which:,In which:,In which:,,
Revenue from related parties(Details stated in Note 37),Revenue from related parties(Details stated in Note 37),Revenue from related parties(Details stated in Note 37),"85,714,808,834","47,708,834,464",,
