row_label_raw,row_label_full,col_0,Closing balance,Opening balance,numeric__Closing balance,numeric__Opening balance
,,,VND,VND,,
Short-term trade receivables,Short-term trade receivables,Short-term trade receivables,"57,931,090,404","440,916,790,269",,
GVI Joint Stock Company,GVI Joint Stock Company,GVI Joint Stock Company,"15,132,465,184","5,879,176,395",,
GEIC Industrial Equipment Joint Stock Company,GEIC Industrial Equipment Joint Stock Company,GEIC Industrial Equipment Joint Stock Company,"13,576,735,504",-,,
Dong Anh Electrical Equipment Corporation - JSC,Dong Anh Electrical Equipment Corporation - JSC,Dong Anh Electrical Equipment Corporation - JSC,"10,078,917,960","10,525,836,880",,
Gelex Ninh Thuan Energy Company Limited,Gelex Ninh Thuan Energy Company Limited,Gelex Ninh Thuan Energy Company Limited,"8,477,565,124",-,,
"HEM Electromechanical Manufacturing Co., Ltd.","HEM Electromechanical Manufacturing Co., Ltd.","HEM Electromechanical Manufacturing Co., Ltd.","8,467,456,695",-,,
Viglacera Ceramic Tiles Trading Joint Stock Company,Viglacera Ceramic Tiles Trading Joint Stock Company,Viglacera Ceramic Tiles Trading Joint Stock Company,"2,182,494,240",-,,
GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,"15,455,697",-,,
GELEX Infrastructure Joint Stock Company,GELEX Infrastructure Joint Stock Company,GELEX Infrastructure Joint Stock Company,-,"420,528,062,534",,
GELEX Quang Tri Energy Company Limited,GELEX Quang Tri Energy Company Limited,GELEX Quang Tri Energy Company Limited,-,"2,074,833,090",,
Dien Gio Huong Phung Limited Company,Dien Gio Huong Phung Limited Company,Dien Gio Huong Phung Limited Company,-,"1,908,881,370",,
