row_label_raw,row_label_full,Bank,Closing balance,Maturity date and interest payment period,Interest rate,Collaterals,numeric__Closing balance,numeric__Maturity date and interest payment period,numeric__Interest rate,numeric__Collaterals
,,,VND,,%/year,,,,,
Standard Chartered Bank Vietnam Limited (Viet Nam),Standard Chartered Bank Vietnam Limited (Viet Nam),Standard Chartered Bank Vietnam Limited (Viet Nam),"27,297,843,573",Loan term 120 days. Interest is paid on maturity date. The last loan agreement expires on 27 April 2025,4.1%-4.5%,Loan guarantee contract between GELEX Group and Standard Chartered Bank (Vietnam),,,,
Vietnam Joint Stock Commercial Bank of Industry and Trade – Dong Anh Branch,Vietnam Joint Stock Commercial Bank of Industry and Trade – Dong Anh Branch,Vietnam Joint Stock Commercial Bank of Industry and Trade – Dong Anh Branch,"17,406,025,082",The term of maintaining the credit limit is from 29 August 2024 to 28 August 2025. Loan term is up to 4 months for commercial activities and up to 8 months for transformer manufacturing activities. Interest is paid monthly on 25th.,According to each debt acknowledgment document,"The credit facility is secured by all assets of the Company's investment project for the production of various types of electrical transformers and transformer parts at Nhon Trach 3 Industrial Park, Dong Nai Province; all assets attached to the land in Long Tho Commune, Nhon Trach District, Dong Nai Province; the Company's property rights arising from economic contracts for the purchase and sale of transformers and materials serving the electricity sector using this loan; and a deposit contract worth VND 10,000,000,000.",,,,
BNP Paribas,Vietnam Joint Stock Commercial Bank of Industry and Trade – Dong Anh Branch > BNP Paribas,BNP Paribas,"6,848,519,652",Loan term 5 months. Interest is paid on maturity date. The last loan agreement expires on 25 March 2025.,4.10%,Mortgage Contract for receivables dated 27 August 2024 between GELEX Electricity Joint Stock Company and BNP Paribas Bank - Hanoi Branch,,,4.1,
Joint Stock Commercial Bank for Foreign Trade of Vietnam - Transaction Center,Vietnam Joint Stock Commercial Bank of Industry and Trade – Dong Anh Branch > Joint Stock Commercial Bank for Foreign Trade of Vietnam - Transaction Center,Joint Stock Commercial Bank for Foreign Trade of Vietnam - Transaction Center,"2,403,170,672",Unsecured loan with a term of 12 months from the effective date of the contract until 3 December 2025. The loan is used to supplement working capital for the Company's production and business. Interest rates are specified for each debt certificate.,3.50%,Loan guarantee contract of CADIVI,,,3.5,
,,,"2,537,809,855,214",,,,,,,
