row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
C.,C.,C.,NỘ PHẢI TRẢ,300,,5.949.830.020.488,7.771.052.596.049,,300.0,,5949830020488.0,7771052596049.0
I.,I.,I.,Nợ ngắn hạn,310,,5.380.609.149.671,6.458.680.884.042,,310.0,,5380609149671.0,6458680884042.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,18,1.125.645.462.323,580.776.898.147,,311.0,18.0,1125645462323.0,580776898147.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,19,293.533.926.852,220.725.681.780,,312.0,19.0,293533926852.0,220725681780.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,20,251.749.622.466,89.249.003.108,,313.0,20.0,251749622466.0,89249003108.0
4.,4.,4.,Phải trả người lao động,314,,132.502.016.484,128.095.191.775,,314.0,,132502016484.0,128095191775.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,21,67.470.433.342,38.495.624.493,,315.0,21.0,67470433342.0,38495624493.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,,5.280.995.062,19.159.092,,318.0,,5280995062.0,19159092.0
7.,7.,7.,Phải trả ngắn hạn khác,319,22,441.699.603.149,938.495.943.804,,319.0,22.0,441699603149.0,938495943804.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,320,23,2.971.092.931.895,4.369.528.999.468,,320.0,23.0,2971092931895.0,4369528999468.0
9.,9.,9.,Dự phòng phải trả ngắn hạn,321,25,80.464.369.666,74.508.081.339,,321.0,25.0,80464369666.0,74508081339.0
10.,10.,10.,"Quỹ khen thưởng, phúc lợi",322,,11.169.788.432,18.786.301.036,,322.0,,11169788432.0,18786301036.0
II.,II.,II.,Nợ dài hạn,330,,569.220.870.817,1.312.371.712.007,,330.0,,569220870817.0,1312371712007.0
1.,1.,1.,Người mua trả tiền trước dài hạn,332,19,21.454.612.045,-,,332.0,19.0,21454612045.0,
2.,2.,2.,Chi phí phải trả dài hạn,333,,1.271.185.764,-,,333.0,,1271185764.0,
3.,3.,3.,Phải trả dài hạn khác,337,,8.060.034.250,6.951.694.250,,337.0,,8060034250.0,6951694250.0
4.,4.,4.,Vay và nợ thuê tài chính dài hạn,338,24,453.424.828.476,1.235.643.872.006,,338.0,24.0,453424828476.0,1235643872006.0
5.,5.,5.,Thuế thu nhập hoãn lại phải trả,341,26,4.599.331.076,6.470.160.639,,341.0,26.0,4599331076.0,6470160639.0
6.,6.,6.,Dự phòng phải trả dài hạn,342,25,80.410.879.206,63.305.985.112,,342.0,25.0,80410879206.0,63305985112.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,6.953.437.285.925,5.951.879.834.915,,400.0,,6953437285925.0,5951879834915.0
I.,I.,I.,Vốn chủ sở hữu,410,27,6.953.437.285.925,5.949.513.329.338,,410.0,27.0,6953437285925.0,5949513329338.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,3.000.000.000.000,3.000.000.000.000,,411.0,,3000000000000.0,3000000000000.0
,,,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,3.000.000.000.000,3.000.000.000.000,,,,3000000000000.0,3000000000000.0
2.,2.,2.,Thặng dư vốn cổ phần,412,,835.287.500.000,835.287.500.000,,412.0,,835287500000.0,835287500000.0
3.,3.,3.,Quỹ đầu tư phát triển,418,,5.000.000.000,5.000.000.000,,418.0,,5000000000.0,5000000000.0
4.,4.,4.,Quỹ khác thuộc vốn chủ sở hữu,420,,512.023.604.323,536.209.913.991,,420.0,,512023604323.0,536209913991.0
5.,5.,5.,Lợi nhuận sau thuế chưa phân phối,421,,2.045.153.834.099,1.055.499.015.330,,421.0,,2045153834099.0,1055499015330.0
,,,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,772.275.694.298,615.088.884.503,,,,772275694298.0,615088884503.0
,,,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,1.272.878.139.801,440.410.130.827,,,,1272878139801.0,440410130827.0
6.,6.,6.,Lợi ích của cổ đông không kiểm soát,429,,555.972.347.503,517.516.900.017,,429.0,,555972347503.0,517516900017.0
II.,II.,II.,Nguồn kinh phí và quỹ khác,430,,-,2.366.505.577,,430.0,,,2366505577.0
1.,1.,1.,Nguồn kinh phí đã hình thành tài sản cổ định,432,,-,2.366.505.577,,432.0,,,2366505577.0
