row_label_raw,row_label_full,col_0,Closing balance,Opening balance,numeric__Closing balance,numeric__Opening balance
,,,VND,VND,,
a. Short-term,a. Short-term,a. Short-term,a. Short-term,a. Short-term,,
Deposits,Deposits,Deposits,"41,791,628,717","51,887,639,083",,
Receivables related to dividends and profits distributed,Receivables related to dividends and profits distributed,Receivables related to dividends and profits distributed,"35,661,500,000","25,308,500,000",,
Receivables related to bank and loan interest,Receivables related to bank and loan interest,Receivables related to bank and loan interest,"11,562,578,160","4,100,471,046",,
Advances,Advances,Advances,"558,448,343","1,783,670,556",,
Others,Others,Others,"20,198,218,901","19,149,989,585",,
,,,"109,772,374,121","102,230,270,270",,
In which:,In which:,In which:,In which:,In which:,,
Other short-term receivables from related parties (Details stated in Note 37),Other short-term receivables from related parties (Details stated in Note 37),Other short-term receivables from related parties (Details stated in Note 37),"46,023,975,344","349,315,068",,
b. Long-term,b. Long-term,b. Long-term,b. Long-term,b. Long-term,,
Receivables related to bank and loan interest,Receivables related to bank and loan interest,Receivables related to bank and loan interest,"3,826,027,398",-,,
Deposits,Deposits,Deposits,"258,765,470","91,000,000",,
,,,"4,084,792,868","91,000,000",,
In which:,In which:,In which:,In which:,In which:,,
Other long-term receivables from related parties (Details stated in Note 37),Other long-term receivables from related parties (Details stated in Note 37),Other long-term receivables from related parties (Details stated in Note 37),"3,826,027,398",-,,
