row_label_raw,row_label_full,col_0,Prior year,Prior year_1,numeric__Prior year,numeric__Prior year_1
,,,Reported,Restated,,
Accounting profit after corporate income tax (VND),Accounting profit after corporate income tax (VND),Accounting profit after corporate income tax (VND),"745,377,314,586","745,377,314,586",,
Appropriation to bonus and welfare fund (VND),Appropriation to bonus and welfare fund (VND),Appropriation to bonus and welfare fund (VND),-,"(7,409,630,700)",,
Profit or loss attributable to ordinary shareholders (VND),Profit or loss attributable to ordinary shareholders (VND),Profit or loss attributable to ordinary shareholders (VND),"745,377,314,586","737,967,683,886",,
Average ordinary shares in circulation for the period (shares),Average ordinary shares in circulation for the period (shares),Average ordinary shares in circulation for the period (shares),"300,000,000","300,000,000",,
Basic earnings per share (VND/share),Average ordinary shares in circulation for the period (shares) > Basic earnings per share (VND/share),Basic earnings per share (VND/share),"2,485","2,460",2.485,2.46
