row_label_raw,row_label_full,col_0,Closing balance,Opening balance,numeric__Closing balance,numeric__Opening balance
,,,VND,VND,,
The cost of handling landslides at the GELEX Ninh,The cost of handling landslides at the GELEX Ninh,The cost of handling landslides at the GELEX Ninh,"19,742,250,000",-,,
Thuan Solar Power Plant (i),Thuan Solar Power Plant (i),Thuan Solar Power Plant (i),,,,
Executive Management Bonus,Executive Management Bonus,Executive Management Bonus,"13,500,000,000",-,,
Land lease back payment (ii),Land lease back payment (ii),Land lease back payment (ii),"7,912,377,868",-,,
Interest expense and payment discount,Interest expense and payment discount,Interest expense and payment discount,"7,043,418,747","5,086,102,438",,
Out-sourced services,Out-sourced services,Out-sourced services,"3,750,490,647","8,031,964,588",,
Accrual interest expense,Accrual interest expense,Accrual interest expense,"2,641,812,489","11,584,152,250",,
"Agency commission expense, sales expense, accrued administration expense","Agency commission expense, sales expense, accrued administration expense","Agency commission expense, sales expense, accrued administration expense","1,770,043,514","1,083,566,303",,
"UPAS L/C, L/C fees","UPAS L/C, L/C fees","UPAS L/C, L/C fees",-,"9,351,262,584",,
Others,Others,Others,"11,110,040,077","3,358,576,330",,
,,,"67,470,433,342","38,495,624,493",,
