row_label_raw,row_label_full,col_0,ASSETS,Codes,Notes,Closing balance,Opening balance,numeric__ASSETS,numeric__Codes,numeric__Notes,numeric__Closing balance,numeric__Opening balance
B.,B.,B.,NON-CURRENT ASSETS,200,,"6,042,489,119,743","7,159,740,434,753",,200.0,,,
I.,I.,I.,Long-term receivables,210,,"70,228,984,552","7,258,539,911",,210.0,,,
1.,1.,1.,Long-term trade receivables,211,,"6,144,191,684","7,167,539,911",,211.0,,,
2.,2.,2.,Long-term loans receivable,215,7,"60,000,000,000",-,,215.0,7.0,,
3.,3.,3.,Other long-term receivables,216,8,"4,084,792,868","91,000,000",,216.0,8.0,,
II.,II.,II.,Fixed assets,220,,"2,452,872,283,273","3,460,495,583,375",,220.0,,,
1.,1.,1.,Tangible fixed assets,221,12,"2,376,558,404,175","3,380,042,566,756",,221.0,12.0,,
,,,- Cost,222,,"5,398,881,690,873","6,578,153,387,235",,222.0,,,
,,,- Accumulated depreciation,223,,"(3,022,323,286,698)","(3,198,110,820,479)",,223.0,,,
2.,2.,2.,Intangible assets,227,13,"76,313,879,098","80,453,016,619",,227.0,13.0,,
,,,- Cost,228,,"153,990,156,389","140,922,888,119",,228.0,,,
,,,- Accumulated amortisation,229,,"(77,676,277,291)","(60,469,871,500)",,229.0,,,
III.,III.,III.,Investment properties,230,14,"122,911,711,526","130,231,517,835",,230.0,14.0,,
,,,- Cost,231,,"217,388,052,952","215,774,318,168",,231.0,,,
,,,- Accumulated depreciation,232,,"(94,476,341,426)","(85,542,800,333)",,232.0,,,
IV.,IV.,IV.,Long-term assets in progress,240,,"173,153,820,472","264,461,553,949",,240.0,,,
1.,1.,1.,Construction in progress,242,15,"173,153,820,472","264,461,553,949",,242.0,15.0,,
V.,V.,V.,Long-term financial investments,250,,"2,661,917,601,247","2,653,149,719,113",,250.0,,,
1.,1.,1.,Investments in associates,252,16.2,"1,547,320,050,847","1,420,899,672,268",,252.0,162.0,,
2.,2.,2.,Equity investments in other entities,253,16.3,"1,114,597,550,400","1,246,882,550,400",,253.0,163.0,,
3.,3.,3.,Provision for impairment of long-termfinancial investments,254,16.3,,"(14,632,503,555)",,254.0,163.0,,
VI.,VI.,VI.,Other long-term assets,260,,"561,404,718,673","644,143,520,570",,260.0,,,
1.,1.,1.,Long-term prepayments,261,11,"422,483,286,518","493,522,874,541",,261.0,11.0,,
2.,2.,2.,Deferred tax assets,262,26,"44,141,262,384","26,337,031,849",,262.0,26.0,,
3.,3.,3.,Goodwill,269,17,"94,780,169,771","124,283,614,180",,269.0,17.0,,
,,,TOTAL ASSETS (270=100+200),270,,"12,903,267,306,413","13,722,932,430,964",,270.0,,,
