row_label_raw,row_label_full,col_0,Opening balance,Opening balance_1,Opening balance_2,Opening balance_3,In the year,Closing balance,Closing balance_1,numeric__Opening balance,numeric__Opening balance_1,numeric__Opening balance_2,numeric__Opening balance_3,numeric__In the year,numeric__Closing balance,numeric__Closing balance_1
,,,Amount,VND Amount able to be paid off,"Decrease due to divestment at subsidiary (91,423,256,000)",Increases,VND Decreases,Amount,VND Amount able to be paid off,,,,,,,
Long-term loans (i),Long-term loans (i),Long-term loans (i),"863,518,872,006","863,518,872,006","(372,125,000,000)","20,232,205,017","338,902,992,547","453,424,828,476","453,424,828,476",,,,,,,
Loan from related party (Details stated in Note 37),Loan from related party (Details stated in Note 37),Loan from related party (Details stated in Note 37),"372,125,000,000","372,125,000,000","(372,125,000,000)",-,-,-,-,,,,,,,
,,,"1,235,643,872,006","1,235,643,872,006","(463,548,256,000)","20,232,205,017","338,902,992,547","453,424,828,476","453,424,828,476",,,,,,,
(i) Details of loans by bank:,(i) Details of loans by bank:,(i) Details of loans by bank:,(i) Details of loans by bank:,(i) Details of loans by bank:,(i) Details of loans by bank:,(i) Details of loans by bank:,(i) Details of loans by bank:,(i) Details of loans by bank:,(i) Details of loans by bank:,,,,,,,
Bank,Bank,Bank,Closing balance,Opening balance,Maturity date and interest payment period,Maturity date and interest payment period,Interest rate,Collaterals,Collaterals,,,,,,,
,,,VND,VND,,,%/year,,,,,,,,,
Vietnam Development Bank - Quang Nam Branch,Vietnam Development Bank - Quang Nam Branch,Vietnam Development Bank - Quang Nam Branch,"416,704,823,000","523,084,823,000","Interest rate applied according to the bank's notice at each disbursement time, interest paid monthly, principal repaid according to the repayment schedule with the final payment date on 24 November 2028.","Interest rate applied according to the bank's notice at each disbursement time, interest paid monthly, principal repaid according to the repayment schedule with the final payment date on 24 November 2028.",6.9% - 10%,Assets of Song Bung 4A Hydropower Project,Assets of Song Bung 4A Hydropower Project,,,,,,,
SHINHAN Bank (Vietnam) Ltd. - Bien Hoa Branch,Vietnam Development Bank - Quang Nam Branch > SHINHAN Bank (Vietnam) Ltd. - Bien Hoa Branch,SHINHAN Bank (Vietnam) Ltd. - Bien Hoa Branch,"76,938,926,341","123,102,282,133",Loan term is 60 months. Interest is paid monthly. The last loan agreement expires on 20 August 2026,Loan term is 60 months. Interest is paid monthly. The last loan agreement expires on 20 August 2026,6.8%,Receivables from the new land and factory in Long Duc Industrial Park,Receivables from the new land and factory in Long Duc Industrial Park,,,,,0.68,,
Standard Chartered Bank Vietnam Ltd. - Ho Chi Minh City Branch,Standard Chartered Bank Vietnam Ltd. - Ho Chi Minh City Branch,Standard Chartered Bank Vietnam Ltd. - Ho Chi Minh City Branch,"62,864,683,503","85,724,568,423","Loan will be repaid in multiple installments starting from the 9th quarter from the first disbursement date, each installment equivalent to 5% of the principal value until 30 June","Loan will be repaid in multiple installments starting from the 9th quarter from the first disbursement date, each installment equivalent to 5% of the principal value until 30 June",5.7%/year plus the bank's cost of funds from year 1 to year 3 and 4.7%/year plus the bank's cost of funds from year 4 to year 7,Land use rights and assets at 70-72 Nam Ky Khoi Nghia; Guarantee letter from GELEX Group Joint Stock Company,Land use rights and assets at 70-72 Nam Ky Khoi Nghia; Guarantee letter from GELEX Group Joint Stock Company,,,,,,,
