row_label_raw,row_label_full,col_0,Buildingsand structures,Land use rights,Total,numeric__Buildingsand structures,numeric__Land use rights,numeric__Total
,,,VND,VND,VND,,,
COST,COST,COST,COST,COST,COST,,,
Opening balance,Opening balance,Opening balance,"177,369,030,728","38,405,287,440","215,774,318,168",,,
Transfer from constructionin progress,Transfer from constructionin progress,Transfer from constructionin progress,"1,613,734,784",-,"1,613,734,784",,,
Closing balance,Closing balance,Closing balance,"178,982,765,512","38,405,287,440","217,388,052,952",,,
ACCUMULATED DEPRECIATION,ACCUMULATED DEPRECIATION,ACCUMULATED DEPRECIATION,ACCUMULATED DEPRECIATION,ACCUMULATED DEPRECIATION,ACCUMULATED DEPRECIATION,,,
Opening balance,Opening balance,Opening balance,"73,694,689,827","11,848,110,506","85,542,800,333",,,
Charge for the year,Charge for the year,Charge for the year,"8,158,071,523","775,469,570","8,933,541,093",,,
Closing balance,Closing balance,Closing balance,"81,852,761,350","12,623,580,076","94,476,341,426",,,
NET BOOK VALUE,NET BOOK VALUE,NET BOOK VALUE,NET BOOK VALUE,NET BOOK VALUE,NET BOOK VALUE,,,
Opening balance,Opening balance,Opening balance,"103,674,340,901","26,557,176,934","130,231,517,835",,,
Closing balance,Closing balance,Closing balance,"97,130,004,162","25,781,707,364","122,911,711,526",,,
