row_label_raw,row_label_full,No. Subsidiary,No. Subsidiary_1,Place of incorporation and operation,Proportion of Ownership interest,Proportion of voting power held,Main business,numeric__No. Subsidiary_1,numeric__Place of incorporation and operation,numeric__Proportion of Ownership interest,numeric__Proportion of voting power held,numeric__Main business
1.,1.,1.,"Cadivi Dong Nai One Member Co., Ltd. (""CADIVI Dong Nai"")",Dong Nai,100%,100%,Manufacturing and trading electrical wires and cables,,,1.0,1.0,
2.,2.,2.,"CADIVI Mien Bac Co., Ltd. (""CADIVI Mien Bac"")",Bac Ninh,100%,100%,Manufacturing and trading electrical wires and cables,,,1.0,1.0,
