row_label_raw,row_label_full,col_0,Opening balance of receivables,Opening balance of payables,Decrease due to divestment at subsidiaries,Payable during the year,Paid/Off-set during the year,Closing balance of receivables,Closing balance of payables,numeric__Opening balance of receivables,numeric__Opening balance of payables,numeric__Decrease due to divestment at subsidiaries,numeric__Payable during the year,numeric__Paid/Off-set during the year,numeric__Closing balance of receivables,numeric__Closing balance of payables
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Value added tax,Value added tax,Value added tax,"11,519,359,807","20,253,660,600","(2,039,017,168)","762,033,399,272","740,934,509,444","11,519,304,307","39,313,477,760",,,,,,,
Import and export tax,Import and export tax,Import and export tax,-,-,-,"1,876,836,232","1,876,836,232",-,-,,,,,,,
Corporate income tax,Corporate income tax,Corporate income tax,"6,122,800,764","62,048,921,925","(1,703,575,677)","458,018,875,090","307,132,772,687","276,361,769","205,385,009,656",,,,,,,
Personal income tax,Personal income tax,Personal income tax,"7,276,621","1,923,140,166","(140,528,250)","30,507,344,846","29,099,116,637","10,492,825","3,194,056,329",,,,,,,
Natural resources tax,Natural resources tax,Natural resources tax,-,"2,575,507,965",-,"16,094,661,376","17,124,786,844",-,"1,545,382,497",,,,,,,
"Land tax, land rental","Land tax, land rental","Land tax, land rental",-,-,-,"10,929,921,092","10,929,921,092",-,-,,,,,,,
Other taxes,Other taxes,Other taxes,"1,000,000",-,-,"2,043,341,272","2,043,341,272","1,000,000",-,,,,,,,
"Fees, charges and other payables","Fees, charges and other payables","Fees, charges and other payables",-,"2,447,772,452",-,"7,718,992,518","7,855,068,746",-,"2,311,696,224",,,,,,,
,,,"17,650,437,192","89,249,003,108","(3,883,121,095)","1,289,223,371,698","1,116,996,352,954","11,807,158,901","251,749,622,466",,,,,,,
