row_label_raw,row_label_full,col_0,ASSETS,Codes,Notes,Closing balance,Opening balance,numeric__ASSETS,numeric__Codes,numeric__Notes,numeric__Closing balance,numeric__Opening balance
A.,A.,A.,CURRENT ASSETS,100,,"6,860,778,186,670","6,563,191,996,211",,100.0,,,
I.,I.,I.,Cash and cash equivalents,110,4,"691,648,524,113","1,125,181,472,381",,110.0,4.0,,
1.,1.,1.,Cash,111,,"568,517,652,880","882,133,509,367",,111.0,,,
2.,2.,2.,Cash equivalents,112,,"123,130,871,233","243,047,963,014",,112.0,,,
II.,II.,II.,Short-term financial investments,120,,"79,546,000,000","162,180,043,357",,120.0,,,
1.,1.,1.,Trading securities,121,,-,"49,991,114,316",,121.0,,,
2.,2.,2.,Held-to-maturity investments,123,16.1,"79,546,000,000","112,188,929,041",,123.0,161.0,,
III.,III.,III.,Short-term receivables,130,,"2,252,910,212,253","1,995,722,963,997",,130.0,,,
1.,1.,1.,Short-term trade receivables,131,5,"1,291,432,915,796","1,884,000,396,600",,131.0,5.0,,
2.,2.,2.,Short-term advances to suppliers,132,6,"657,081,917,022","92,912,221,753",,132.0,6.0,,
3.,3.,3.,Short-term loan receivables,135,7,"371,600,000,000","150,000,000,000",,135.0,7.0,,
4.,4.,4.,Other short-term receivables,136,8,"109,772,374,121","102,230,270,270",,136.0,8.0,,
5.,5.,5.,Provision for short-term doubtful debts,137,9,"(176,976,994,686)","(233,419,924,626)",,137.0,9.0,,
IV.,IV.,IV.,Inventories,140,10,"3,680,150,401,796","3,074,354,439,211",,140.0,10.0,,
1.,1.,1.,Inventories,141,,"3,747,167,515,698","3,113,503,718,437",,141.0,,,
2.,2.,2.,Provision for devaluation of inventories,149,,"(67,017,113,902)","(39,149,279,226)",,149.0,,,
V.,V.,V.,Other short-term assets,150,,"156,523,048,508","205,753,077,265",,150.0,,,
1.,1.,1.,Short-term prepayments,151,11,"24,815,192,830","16,805,304,329",,151.0,11.0,,
2.,2.,2.,Value added tax deductibles,152,,"119,900,696,777","171,297,335,744",,152.0,,,
3.,3.,3.,Taxes and other receivables from the State budget,153,20,"11,807,158,901","17,650,437,192",,153.0,20.0,,
