row_label_raw,row_label_full,col_0,Số đầu nămVND,Từ công ty conchuyển thànhcông ty liên kếtVND,Phần lợi nhuận từ công ty liên kết > Lợi nhuậntừ kết quả kinhdoanh trong nămVND,Phần lợi nhuận từ công ty liên kết > Cổ tức nhận đượcVND,Phần lợi nhuận từ công ty liên kết > Phân phối quỹ vàđều chỉnh khácVND,Số cuối nămVND,numeric__Số đầu nămVND,numeric__Từ công ty conchuyển thànhcông ty liên kếtVND,numeric__Phần lợi nhuận từ công ty liên kết > Lợi nhuậntừ kết quả kinhdoanh trong nămVND,numeric__Phần lợi nhuận từ công ty liên kết > Cổ tức nhận đượcVND,numeric__Phần lợi nhuận từ công ty liên kết > Phân phối quỹ vàđều chỉnh khácVND,numeric__Số cuối nămVND
Tổng Công ty Thiết bị điện Đông Anh- Công ty Cổ phần (i),Tổng Công ty Thiết bị điện Đông Anh- Công ty Cổ phần (i),Tổng Công ty Thiết bị điện Đông Anh- Công ty Cổ phần (i),1.174.457.515.045,-,66.594.374.984,(29.936.266.000),(8.830.474.200),1.202.285.149.829,1174457515045.0,,66594374984.0,-29936266000.0,-8830474200.0,1202285149829.0
Công ty TNHH S.A.S - CTAMAD (ii),Công ty TNHH S.A.S - CTAMAD (ii),Công ty TNHH S.A.S - CTAMAD (ii),246.442.157.223,-,80.108.816.487,(87.780.000.000),(776.451.850),237.994.521.860,246442157223.0,,80108816487.0,-87780000000.0,-776451850.0,237994521860.0
Công ty TNHH Năng lượng GELEXNinh Thuận (iii),Công ty TNHH Năng lượng GELEXNinh Thuận (iii),Công ty TNHH Năng lượng GELEXNinh Thuận (iii),-,82.399.479.940,5.173.438.005,-,-,87.572.917.945,,82399479940.0,5173438005.0,,,87572917945.0
Công ty TNHH Chế tạo Điện cơ HEM(iv),Công ty TNHH Chế tạo Điện cơ HEM(iv),Công ty TNHH Chế tạo Điện cơ HEM(iv),-,19.300.421.332,167.039.881,-,-,19.467.461.213,,19300421332.0,167039881.0,,,19467461213.0
,,,1.420.899.672.268,101.699.901.272,152.043.669.357,(117.716.266.000),(9.606.926.050),1.547.320.050.847,1420899672268.0,101699901272.0,152043669357.0,-117716266000.0,-9606926050.0,1547320050847.0
