row_label_raw,row_label_full,col_0,col_1,2020Triệu VND,2019Triệu VND,numeric__col_1,numeric__2020Triệu VND,numeric__2019Triệu VND
,,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
01,01,01,Mua sắm tài sản cố định,(125.320),(96.695),,-125320.0,-96695.0
02,02,02,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",58,530,,58.0,530.0
09,09,09,"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",1.941,28.111,,1941.0,28111.0
II,II,II,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG ĐẦU TƯ,(123.321),(68.054),,-123321.0,-68054.0
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
04,04,04,"Cổ tức trả cho cổ đông, lợi nhuận đã chia",-,(430.531),,,-430531.0
06,06,06,Tiền thu được do bán cổ phiếu lẻ,-,120,,,120.0
III,III,III,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG TÀI CHÍNH,-,(430.411),,,-430411.0
IV,IV,IV,LU'U CHUYÊN TIÊN THUÀN TRONG NĂM,5.773.517,11.777.283,,5773517.0,11777283.0
V,V,V,TIÊN VÀ CÁC KHOẢN TƯƠNG ĐƯƠNG TIÊN ĐẦU NĂM,23.072.953,11.295.670,,23072953.0,11295670.0
VII,VII,VII,TIÊN VÀ CÁC KHOẢN TƯƠNG ĐƯƠNG TIÊN CUỐI NĂM (THUYẾT MINH 24),28.846.470,23.072.953,,28846470.0,23072953.0
