row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2020,Chưa quá hạn và chưa phải TLDP Triệu VND,Đã quá hạn nhưng chưa phải TLDP > Quá hạn từ 1 đến 10 ngày Triệu VND,Đã quá hạn nhưng chưa phải TLDP > Quá hạn từ 10 đến 90 ngày Triệu VND,Đã quá hạn nhưng chưa phải TLDP > Quá hạn từ 91 đến 180 ngày Triệu VND,Đã quá hạn nhưng chưa phải TLDP > Quá hạn từ 181 đến 360 ngày Triệu VND,Đã quá hạn nhưng chưa phải TLDP > Quá hạn trên 360 ngày Triệu VND,Quá hạn và đã được TLDP Triệu VND,Tổng cộng Triệu VND,numeric__Chưa quá hạn và chưa phải TLDP Triệu VND,numeric__Đã quá hạn nhưng chưa phải TLDP > Quá hạn từ 1 đến 10 ngày Triệu VND,numeric__Đã quá hạn nhưng chưa phải TLDP > Quá hạn từ 10 đến 90 ngày Triệu VND,numeric__Đã quá hạn nhưng chưa phải TLDP > Quá hạn từ 91 đến 180 ngày Triệu VND,numeric__Đã quá hạn nhưng chưa phải TLDP > Quá hạn từ 181 đến 360 ngày Triệu VND,numeric__Đã quá hạn nhưng chưa phải TLDP > Quá hạn trên 360 ngày Triệu VND,numeric__Quá hạn và đã được TLDP Triệu VND,numeric__Tổng cộng Triệu VND
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,24.591.537,-,-,-,-,-,-,24.591.537,24591537.0,,,,,,,24591537.0
Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,4.368.977,-,-,-,-,-,-,4.368.977,4368977.0,,,,,,,4368977.0
Các công cụ tài chính phải sinh,Các công cụ tài chính phải sinh,Các công cụ tài chính phải sinh,23.753,-,-,-,-,-,-,23.753,23753.0,,,,,,,23753.0
Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,158.160.230,5.822.429,962.464,84.350,124.918,817.525,3.548.319,169.520.235,158160230.0,5822429.0,962464.0,84350.0,124918.0,817525.0,3548319.0,169520235.0
Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,236.466,2.890,-,-,296,11.230,2.328,253.210,236466.0,2890.0,,,296.0,11230.0,2328.0,253210.0
Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,41.465.854,-,-,-,-,-,-,41.465.854,41465854.0,,,,,,,41465854.0
Tài sản tài chính khác - gộp,Tài sản tài chính khác - gộp,Tài sản tài chính khác - gộp,3.421.403,-,-,-,-,-,-,3.421.403,3421403.0,,,,,,,3421403.0
,,,232.268.220,5.825.319,962.464,84.350,125.214,828.755,3.550.647,243.644.969,232268220.0,5825319.0,962464.0,84350.0,125214.0,828755.0,3550647.0,243644969.0
Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Chưa quá hạn và chưa phải TLDP Triệu VND,Đã quá hạn nhưng chưa phải TLDP,Đã quá hạn nhưng chưa phải TLDP,Đã quá hạn nhưng chưa phải TLDP,Đã quá hạn nhưng chưa phải TLDP,Đã quá hạn nhưng chưa phải TLDP,Quá hạn và đã được TLDP Triệu VND,Tổng cộng Triệu VND,,,,,,,,
Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Chưa quá hạn và chưa phải TLDP Triệu VND,Quá hạn từ 1 đến 10 ngày Triệu VND,Quá hạn từ 10 đến 90 ngày Triệu VND,Quá hạn từ 91 đến 180 ngày Triệu VND,Quá hạn từ 181 đến 360 ngày Triệu VND,Quá hạn trên 360 ngày Triệu VND,Quá hạn và đã được TLDP Triệu VND,Tổng cộng Triệu VND,,,,,,,,
Tiền gửi tại NHNN,Tại ngày 31 tháng 12 năm 2019 > Tiền gửi tại NHNN,Tiền gửi tại NHNN,19.040.311,-,-,-,-,-,-,19.040.311,19040311.0,,,,,,,19040311.0
Tiền gửi và cho vay các TCTD khác - gộp,Tại ngày 31 tháng 12 năm 2019 > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,4.011.859,-,-,-,-,-,-,4.011.859,4011859.0,,,,,,,4011859.0
Cho vay khách hàng - gộp,Tại ngày 31 tháng 12 năm 2019 > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,120.189.417,4.977.378,690.067,66.048,60.356,1.017.722,2.198.820,129.199.808,120189417.0,4977378.0,690067.0,66048.0,60356.0,1017722.0,2198820.0,129199808.0
Hoạt động mua nợ - gộp,Tại ngày 31 tháng 12 năm 2019 > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,314.583,1.949,308,-,-,11.229,1.055,329.124,314583.0,1949.0,308.0,,,11229.0,1055.0,329124.0
Chứng khoán đầu tư - gộp,Tại ngày 31 tháng 12 năm 2019 > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,27.924.549,-,-,-,-,-,-,27.924.549,27924549.0,,,,,,,27924549.0
Tài sản tài chính khác - gộp,Tại ngày 31 tháng 12 năm 2019 > Tài sản tài chính khác - gộp,Tài sản tài chính khác - gộp,2.980.287,-,-,-,-,-,-,2.980.287,2980287.0,,,,,,,2980287.0
,,,174.461.006,4.979.327,690.375,66.048,60.356,1.028.951,2.199.875,183.485.938,174461006.0,4979327.0,690375.0,66048.0,60356.0,1028951.0,2199875.0,183485938.0
